Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,EntryZScore,StopZScore
0,-2.28,-4544.64,-146.60129,0.39066,-0.67673,-2.28489,0,44.77,31,0,0
101,-2.95,-3737.76,-84.94909,0.36629,-0.78069,-2.95086,0,31.92,44,0,0.1
202,-1.1,-2977.22,-156.69579,0.51192,-0.56348,-1.09707,0,35.22,19,0,0.2
303,-0.88,-2558.5,-142.13889,0.5783,-0.5122,-0.8769,0,33.3,18,0,0.3
404,-1.64,-3193.32,-74.26326,0.62358,-0.58824,-1.64123,0,36.19,43,0,0.4
505,-0.82,-1867.29,-84.87682,0.7266,-0.42685,-0.81629,0,29.16,22,0,0.5
606,-1.11,-2527.67,-140.42611,0.59092,-0.50808,-1.10553,0,33.17,18,0,0.6
707,-0.77,-2263.33,-125.74056,0.6057,-0.47865,-0.77133,0,31.52,18,0,0.7
808,-0.52,-2172.92,-144.86133,0.61607,-0.46756,-0.51671,0,30.98,15,0,0.8
909,-0.91,-2018.69,-87.76913,0.68268,-0.45042,-0.91067,0,29.88,23,0,0.9
1010,-0.9,-2580.64,-161.29,0.60161,-0.51295,-0.898,0,33.54,16,0,1
1111,-0.9,-2580.64,-161.29,0.60161,-0.51295,-0.898,0,33.54,16,0,1.1
1212,-0.34,-2004.95,-154.22692,0.63677,-0.44589,-0.34249,0,29.98,13,0,1.2
1313,-0.34,-1987.05,-152.85,0.63901,-0.4437,-0.3397,0,29.86,13,0,1.3
1414,-0.22,-1520.02,-126.66833,0.70676,-0.37515,-0.21585,0,27.01,12,0,1.4
1515,-0.78,-1856.85,-88.42143,0.72479,-0.42571,-0.78085,0,29.08,21,0,1.5
1616,-0.22,-1531.81,-127.65083,0.70516,-0.37696,-0.21741,0,27.09,12,0,1.6
1717,-0.33,-1613.57,-115.255,0.69277,-0.39069,-0.33077,0,27.53,14,0,1.7
1818,-0.22,-1517.1,-126.425,0.70716,-0.3747,-0.2154,0,26.99,12,0,1.8
1919,-0.2,-1776.97,-161.54273,0.66716,-0.41524,-0.20482,0,28.53,11,0,1.9
2020,-0.24,-1708.79,-142.39917,0.67883,-0.40442,-0.2418,0,28.17,12,0,2
2121,-2.78,-3615.53,-57.38937,0.72729,-0.70479,-2.7812,0,33.22,63,0,2.1
2222,-2.61,-3535.87,-46.52461,0.73681,-0.66435,-2.60603,0,33.9,76,0,2.2
2323,-1.96,-3879.04,-107.75111,0.73435,-0.65148,-1.95715,0,39.69,36,0,2.3
2424,-2.08,-4522.04,-92.28653,0.76978,-0.29176,-2.08014,0,65.03,49,0,2.4
2525,-1.4,-2817.03,-30.29065,0.92668,-0.19752,-1.39724,0,57.47,93,0,2.5
2626,-0.71,-1550.96,-46.99879,0.92177,-0.29247,-0.71214,0,34.63,33,0,2.6
2727,-0.47,-1126.23,-27.46902,0.94789,-0.0981,-0.47454,0,50.59,41,0,2.7
2828,-5,-11533.51,-281.30512,0.53764,-0.60131,-5,0,84.69,41,0,2.8
2929,0.76,2034.18,27.48892,1.06627,0.20801,0.76443,0,40.73,74,0,2.9
3030,-1.38,-3861.84,-257.456,0.58189,-0.76664,-1.37517,0,33.34,15,0,3
3131,-4.51,-11910.69,-916.20692,0.11539,-1,-4.50579,0,79.4,13,0,3.1
3232,-4.51,-11910.69,-916.20692,0.11539,-1,-4.50579,0,79.4,13,0,3.2
3333,-4.49,-11908.26,-916.02,0.11522,-1,-4.49362,0,79.39,13,0,3.3
3434,-2.39,-4411.92,-220.596,0.53691,-0.69707,-2.38568,0,41.98,20,0,3.4
3535,-1.79,-3801.25,-211.18056,0.58202,-0.65424,-1.78607,0,38.73,18,0,3.5
3636,-1.79,-3801.25,-211.18056,0.58202,-0.65424,-1.78607,0,38.73,18,0,3.6
3737,-1.79,-3801.25,-211.18056,0.58202,-0.65424,-1.78607,0,38.73,18,0,3.7
3838,-1.58,-3380.62,-187.81222,0.61438,-0.58374,-1.57564,0,38.61,18,0,3.8
3939,-2.39,-4203.7,-168.148,0.64154,-0.70902,-2.38503,0,39.53,25,0,3.9
4040,-2.39,-4203.7,-168.148,0.64154,-0.70902,-2.38503,0,39.53,25,0,4
4141,-2.39,-4203.7,-168.148,0.64154,-0.70902,-2.38503,0,39.53,25,0,4.1
4242,-2.62,-4348.65,-140.27903,0.6402,-0.72731,-2.6237,0,39.86,31,0,4.2
4343,-0.66,-2829.71,-202.12214,0.71031,-0.47177,-0.66446,0,39.99,14,0,4.3
4444,-1.49,-3054.64,-152.732,0.57597,-0.46028,-1.48788,0,44.24,20,0,4.4
4545,-1.49,-3054.64,-152.732,0.57597,-0.46028,-1.48788,0,44.24,20,0,4.5
4646,-1.49,-3054.64,-152.732,0.57597,-0.46028,-1.48788,0,44.24,20,0,4.6
4747,-1.49,-3054.64,-152.732,0.57597,-0.46028,-1.48788,0,44.24,20,0,4.7
4848,-1.49,-3054.64,-152.732,0.57597,-0.46028,-1.48788,0,44.24,20,0,4.8
4949,-0.52,-2996.3,-249.69167,0.70311,-0.46157,-0.51556,0,42.26,12,0,4.9
5050,-4.12,-8016.87,-421.94053,0.42884,-0.84558,-4.11596,0,61.5,19,0,5
5151,-4.12,-8016.87,-421.94053,0.42884,-0.84558,-4.11596,0,61.5,19,0,5.1
5252,-4.12,-8016.87,-421.94053,0.42884,-0.84558,-4.11596,0,61.5,19,0,5.2
5353,-1.88,-5594.01,-372.934,0.48129,-0.75731,-1.87752,0,45.44,15,0,5.3
5454,-1.91,-5635.96,-375.73067,0.4865,-0.75305,-1.91029,0,45.88,15,0,5.4
5555,-1.91,-5635.96,-375.73067,0.4865,-0.75305,-1.91029,0,45.88,15,0,5.5
5656,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0,5.6
5757,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0,5.7
5858,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0,5.8
5959,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0,5.9
6060,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0,6
6161,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0,6.1
6262,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0,6.2
6363,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0,6.3
6464,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0,6.4
6565,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0,6.5
6666,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0,6.6
6767,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0,6.7
6868,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0,6.8
6969,-0.48,-5460.93,-606.77,0.41987,-0.69963,-0.48094,0,46.81,9,0,6.9
7070,-0.48,-5460.93,-606.77,0.41987,-0.69963,-0.48094,0,46.81,9,0,7
7171,-0.48,-5460.93,-606.77,0.41987,-0.69963,-0.48094,0,46.81,9,0,7.1
