entryzscore,stoplosspercent,profit_mean,profit_median,profit_min,profit_max,profit_count,equity_dd_percent_mean,equity_dd_percent_median,equity_dd_percent_max,sharpe_ratio_mean,sharpe_ratio_median,recovery_factor_mean,recovery_factor_median,trades_mean,result_mean,result_median
0.6,1.0,1091.64,1091.64,1091.64,1091.64,1,4.3,4.3,4.3,13.96094,13.96094,1.69063,1.69063,27.0,13.96,13.96
0.0,0.0,312.16333333333324,-61.48,-2572.12,6997.61,9,8.225555555555555,8.01,17.26,-3.191201111111111,-5.0,-0.28737777777777773,-0.99375,111.33333333333333,-3.192222222222222,-5.0
2.2,0.0,-3.245,-3.245,-4.9,-1.59,2,0.03,0.03,0.04,-5.0,-5.0,-0.75432,-0.75432,25.0,-5.0,-5.0
1.0,0.0,-28.34,-28.34,-28.34,-28.34,1,0.19,0.19,0.19,-5.0,-5.0,-0.99091,-0.99091,172.0,-5.0,-5.0
0.8,3.0,-233.62,-233.62,-370.74,-96.5,2,5.155,5.155,6.24,-2.554165,-2.554165,-0.277175,-0.277175,21.5,-2.555,-2.555
1.4,0.0,-235.2733333333333,-344.24,-344.24,-17.34,3,2.28,3.36,3.36,-2.01242,-0.51863,-0.7888066666666665,-0.68321,39.333333333333336,-2.013333333333333,-0.52
1.2,0.4,-600.69,-600.69,-600.69,-600.69,1,5.12,5.12,5.12,-5.0,-5.0,-0.7825,-0.7825,20.0,-5.0,-5.0
1.4,1.2,-799.325,-799.325,-978.1,-620.55,2,6.335,6.335,7.83,-2.840365,-2.840365,-0.839835,-0.839835,20.0,-2.84,-2.84
0.0,5.0,-859.4233333333333,-230.0,-2173.27,-175.0,3,7.793333333333334,4.14,15.14,-1.85857,-0.30569,-0.53457,-0.37398,23.0,-1.8599999999999997,-0.31
0.6,4.2,-970.92,-970.92,-1916.84,-25.0,2,8.37,8.37,13.44,-2.517465,-2.517465,-0.496965,-0.496965,25.5,-2.515,-2.515
0.0,0.8,-1221.018,-1663.9,-2221.01,1184.31,5,11.35,11.64,15.14,-3.916456,-5.0,-0.36680999999999997,-0.94973,29.8,-3.9159999999999995,-5.0
0.2,0.8,-1231.22,-1231.22,-1231.22,-1231.22,1,10.85,10.85,10.85,-5.0,-5.0,-0.75106,-0.75106,22.0,-5.0,-5.0
0.0,3.6,-1307.1871428571428,-1105.43,-2572.12,-410.0,7,9.507142857142858,7.37,17.26,-2.6227985714285715,-1.08919,-0.8428399999999999,-0.94001,25.571428571428573,-2.6242857142857146,-1.09
0.8,2.8,-1375.335,-1375.335,-1826.94,-923.73,2,9.56,9.56,12.96,-3.156555,-3.156555,-0.96631,-0.96631,33.5,-3.1550000000000002,-3.1550000000000002
0.6,0.6,-1450.82,-1450.82,-2115.79,-785.85,2,13.254999999999999,13.254999999999999,14.85,-5.0,-5.0,-0.696,-0.696,53.0,-5.0,-5.0
0.0,1.4,-1484.2714285714285,-1956.88,-2572.12,185.41,7,12.15857142857143,15.14,17.45,-3.531144285714286,-5.0,-0.5789871428571428,-0.94519,28.0,-3.531428571428571,-5.0
0.0,4.2,-1543.42,-1351.56,-2173.27,-1105.43,3,11.76,12.77,15.14,-2.2342166666666667,-1.08919,-0.87939,-0.94973,24.333333333333332,-2.2333333333333334,-1.09
1.0,1.2,-1556.0,-1556.0,-1556.0,-1556.0,1,14.34,14.34,14.34,-5.0,-5.0,-0.71762,-0.71762,20.0,-5.0,-5.0
1.0,2.2,-1608.3700000000001,-1608.3700000000001,-3084.26,-132.48,2,12.445,12.445,21.73,-2.60902,-2.60902,-0.609145,-0.609145,27.5,-2.61,-2.61
0.6,1.6,-1737.17,-1737.17,-1737.17,-1737.17,1,16.55,16.55,16.55,-5.0,-5.0,-0.69442,-0.69442,20.0,-5.0,-5.0
2.2,1.2,-1954.51,-1954.51,-1954.51,-1954.51,1,16.68,16.68,16.68,-5.0,-5.0,-0.77527,-0.77527,20.0,-5.0,-5.0
0.0,0.6,-2153.89125,-1557.255,-6745.22,-592.87,8,17.73375,13.495,61.81,-3.9527825,-5.0,-0.8438025,-0.88132,22.75,-3.9525,-5.0
1.4,2.4,-2354.19,-2354.19,-2354.19,-2354.19,1,16.51,16.51,16.51,-5.0,-5.0,-0.94345,-0.94345,116.0,-5.0,-5.0
0.0,0.2,-2555.2725,-1639.35,-6745.22,-197.17,4,21.4875,11.255,61.81,-2.905565,-3.044595,-0.866195,-0.877995,21.25,-2.9050000000000002,-3.045
0.0,4.6,-2847.866,-2173.27,-6745.22,-1105.43,5,25.242,17.26,61.81,-3.1080740000000002,-3.91811,-0.8171240000000001,-0.94973,22.2,-3.1079999999999997,-3.92
0.4,0.0,-4094.5,-4094.5,-6745.22,-1443.78,2,36.995000000000005,36.995000000000005,61.81,-2.766535,-2.766535,-0.7464,-0.7464,25.0,-2.765,-2.765
