<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	23:00:00	0.90205	0.90290	0.89996	0.90120	915	0	54
2024.01.02	00:00:00	0.90123	0.90215	0.90123	0.90172	1390	0	26
2024.01.02	01:00:00	0.90172	0.90240	0.90172	0.90234	1028	0	25
2024.01.02	02:00:00	0.90234	0.90256	0.90135	0.90191	3309	0	25
2024.01.02	03:00:00	0.90191	0.90225	0.90137	0.90168	2559	0	27
2024.01.02	04:00:00	0.90169	0.90353	0.90145	0.90318	2069	0	27
2024.01.02	05:00:00	0.90316	0.90387	0.90301	0.90367	1019	0	26
2024.01.02	06:00:00	0.90367	0.90563	0.90367	0.90503	1990	0	26
2024.01.02	07:00:00	0.90502	0.90549	0.90440	0.90455	2044	0	27
2024.01.02	08:00:00	0.90456	0.90460	0.90348	0.90351	4043	0	26
2024.01.02	09:00:00	0.90351	0.90446	0.90336	0.90353	4435	0	25
2024.01.02	10:00:00	0.90353	0.90481	0.90352	0.90391	3965	0	25
2024.01.02	11:00:00	0.90392	0.90415	0.90295	0.90304	3903	0	24
2024.01.02	12:00:00	0.90304	0.90310	0.90142	0.90209	3598	0	26
2024.01.02	13:00:00	0.90210	0.90251	0.90130	0.90172	3757	0	24
2024.01.02	14:00:00	0.90172	0.90277	0.90128	0.90152	3696	0	25
2024.01.02	15:00:00	0.90152	0.90379	0.90147	0.90354	5977	0	24
2024.01.02	16:00:00	0.90357	0.90391	0.90049	0.90082	7113	0	25
2024.01.02	17:00:00	0.90082	0.90192	0.90042	0.90105	5040	0	25
2024.01.02	18:00:00	0.90105	0.90151	0.90085	0.90102	3433	0	25
2024.01.02	19:00:00	0.90102	0.90157	0.90061	0.90134	2629	0	25
2024.01.02	20:00:00	0.90134	0.90150	0.90081	0.90087	2249	0	25
2024.01.02	21:00:00	0.90087	0.90108	0.90070	0.90071	2334	0	22
2024.01.02	22:00:00	0.90071	0.90094	0.90027	0.90055	1199	0	10
