<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	23:00:00	95.896	96.006	95.859	95.897	1014	0	38
2024.01.02	00:00:00	95.899	96.104	95.899	96.081	1894	0	23
2024.01.02	01:00:00	96.081	96.260	96.081	96.162	1905	0	22
2024.01.02	02:00:00	96.162	96.389	96.162	96.345	3530	0	22
2024.01.02	03:00:00	96.345	96.387	96.225	96.315	2849	0	22
2024.01.02	04:00:00	96.315	96.532	96.292	96.420	2330	0	22
2024.01.02	05:00:00	96.421	96.545	96.384	96.510	1535	0	22
2024.01.02	06:00:00	96.510	96.690	96.503	96.657	2590	0	22
2024.01.02	07:00:00	96.657	96.667	96.568	96.592	2310	0	23
2024.01.02	08:00:00	96.592	96.619	96.492	96.520	4349	0	22
2024.01.02	09:00:00	96.517	96.648	96.510	96.598	5205	0	22
2024.01.02	10:00:00	96.599	96.703	96.538	96.552	4521	0	22
2024.01.02	11:00:00	96.550	96.595	96.489	96.549	4254	0	22
2024.01.02	12:00:00	96.545	96.553	96.370	96.434	5012	0	22
2024.01.02	13:00:00	96.435	96.563	96.400	96.424	5246	0	22
2024.01.02	14:00:00	96.424	96.441	96.289	96.365	5545	0	22
2024.01.02	15:00:00	96.366	96.378	96.000	96.056	7983	0	22
2024.01.02	16:00:00	96.056	96.138	95.890	96.049	7912	0	22
2024.01.02	17:00:00	96.048	96.117	95.963	96.060	4912	0	22
2024.01.02	18:00:00	96.061	96.190	96.055	96.152	3120	0	22
2024.01.02	19:00:00	96.150	96.157	96.008	96.016	2623	0	22
2024.01.02	20:00:00	96.015	96.017	95.960	95.961	2114	0	22
2024.01.02	21:00:00	95.960	95.967	95.830	95.932	2301	0	22
2024.01.02	22:00:00	95.932	96.007	95.912	95.965	1168	0	22
2024.01.02	23:00:00	95.966	96.076	95.851	96.076	1554	0	39
2024.01.03	00:00:00	96.075	96.190	96.060	96.189	1400	0	24
2024.01.03	01:00:00	96.192	96.193	95.986	96.005	2513	0	22
2024.01.03	02:00:00	96.005	96.033	95.905	95.941	3368	0	22
2024.01.03	03:00:00	95.941	95.952	95.862	95.938	2347	0	22
2024.01.03	04:00:00	95.938	96.007	95.889	95.990	2275	0	23
2024.01.03	05:00:00	95.990	96.038	95.950	95.958	2120	0	22
2024.01.03	06:00:00	95.961	96.149	95.945	96.127	1976	0	22
2024.01.03	07:00:00	96.122	96.165	96.057	96.127	2122	0	24
2024.01.03	08:00:00	96.127	96.297	96.058	96.226	4584	0	22
2024.01.03	09:00:00	96.226	96.364	96.191	96.312	5337	0	22
2024.01.03	10:00:00	96.314	96.364	96.184	96.257	4537	0	22
2024.01.03	11:00:00	96.257	96.283	96.168	96.169	3430	0	22
2024.01.03	12:00:00	96.168	96.231	96.085	96.172	3810	0	22
2024.01.03	13:00:00	96.172	96.224	96.114	96.141	4907	0	22
2024.01.03	14:00:00	96.142	96.185	96.014	96.022	5573	0	22
