<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	23:00:00	1.07602	1.07753	1.07475	1.07654	417	0	67
2024.01.02	00:00:00	1.07696	1.07832	1.07696	1.07824	1748	0	19
2024.01.02	01:00:00	1.07825	1.07914	1.07803	1.07898	1384	0	20
2024.01.02	02:00:00	1.07897	1.08053	1.07883	1.08040	3845	0	22
2024.01.02	03:00:00	1.08042	1.08078	1.07974	1.08052	2836	0	19
2024.01.02	04:00:00	1.08052	1.08175	1.08021	1.08124	2027	0	19
2024.01.02	05:00:00	1.08126	1.08173	1.08101	1.08158	1755	0	20
2024.01.02	06:00:00	1.08158	1.08264	1.08144	1.08258	2611	0	19
2024.01.02	07:00:00	1.08260	1.08264	1.08147	1.08153	2343	0	20
2024.01.02	08:00:00	1.08151	1.08256	1.08140	1.08190	3301	0	23
2024.01.02	09:00:00	1.08191	1.08313	1.08159	1.08221	4104	0	20
2024.01.02	10:00:00	1.08220	1.08231	1.08075	1.08077	3585	0	20
2024.01.02	11:00:00	1.08078	1.08104	1.08026	1.08034	2875	0	19
2024.01.02	12:00:00	1.08030	1.08267	1.08009	1.08247	3843	0	19
2024.01.02	13:00:00	1.08246	1.08257	1.08171	1.08173	3976	0	19
2024.01.02	14:00:00	1.08173	1.08197	1.08111	1.08126	4349	0	21
2024.01.02	15:00:00	1.08126	1.08154	1.08072	1.08082	6124	0	20
2024.01.02	16:00:00	1.08082	1.08137	1.08068	1.08073	6072	0	22
2024.01.02	17:00:00	1.08073	1.08132	1.08059	1.08130	3673	0	19
2024.01.02	18:00:00	1.08129	1.08212	1.08119	1.08205	2949	0	19
2024.01.02	19:00:00	1.08200	1.08223	1.08160	1.08167	2545	0	19
2024.01.02	20:00:00	1.08165	1.08181	1.08129	1.08148	1967	0	19
2024.01.02	21:00:00	1.08143	1.08156	1.08099	1.08108	2240	0	19
2024.01.02	22:00:00	1.08107	1.08161	1.08096	1.08122	1120	0	5
2024.01.02	23:00:00	1.08007	1.08199	1.07893	1.08164	1193	0	33
2024.01.03	00:00:00	1.08165	1.08266	1.08159	1.08220	1168	0	21
2024.01.03	01:00:00	1.08221	1.08270	1.08103	1.08112	2191	0	20
2024.01.03	02:00:00	1.08112	1.08159	1.07977	1.07992	3023	0	20
2024.01.03	03:00:00	1.07991	1.07991	1.07923	1.07973	2174	0	20
2024.01.03	04:00:00	1.07972	1.08002	1.07905	1.07940	2261	0	20
2024.01.03	05:00:00	1.07940	1.07958	1.07858	1.07877	1631	0	22
2024.01.03	06:00:00	1.07877	1.07909	1.07848	1.07869	1969	0	22
2024.01.03	07:00:00	1.07868	1.07888	1.07810	1.07818	1830	0	19
2024.01.03	08:00:00	1.07823	1.07940	1.07787	1.07911	3571	0	19
2024.01.03	09:00:00	1.07912	1.07933	1.07823	1.07896	4300	0	21
2024.01.03	10:00:00	1.07896	1.07930	1.07842	1.07888	3707	0	22
2024.01.03	11:00:00	1.07888	1.07912	1.07801	1.07803	2811	0	19
2024.01.03	12:00:00	1.07803	1.07825	1.07744	1.07780	2555	0	22
