<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	23:00:00	0.89786	0.89900	0.89767	0.89799	483	0	109
2024.01.02	00:00:00	0.89799	0.89948	0.89799	0.89848	1589	0	25
2024.01.02	01:00:00	0.89848	0.89935	0.89842	0.89913	939	0	5
2024.01.02	02:00:00	0.89910	0.90009	0.89893	0.89981	2459	0	22
2024.01.02	03:00:00	0.89981	0.90023	0.89920	0.89943	1569	0	7
2024.01.02	04:00:00	0.89943	0.90133	0.89910	0.90116	1157	0	23
2024.01.02	05:00:00	0.90116	0.90165	0.90105	0.90129	797	0	5
2024.01.02	06:00:00	0.90131	0.90352	0.90131	0.90337	1410	0	22
2024.01.02	07:00:00	0.90337	0.90339	0.90205	0.90207	1317	0	22
2024.01.02	08:00:00	0.90206	0.90245	0.90144	0.90172	2462	0	22
2024.01.02	09:00:00	0.90174	0.90293	0.90170	0.90206	2446	0	22
2024.01.02	10:00:00	0.90207	0.90323	0.90202	0.90224	2088	0	22
2024.01.02	11:00:00	0.90222	0.90251	0.90146	0.90180	2052	0	21
2024.01.02	12:00:00	0.90177	0.90179	0.90030	0.90082	2219	0	23
2024.01.02	13:00:00	0.90085	0.90099	0.89960	0.89971	2171	0	23
2024.01.02	14:00:00	0.89971	0.90001	0.89887	0.89925	2551	0	22
2024.01.02	15:00:00	0.89928	0.89963	0.89805	0.89893	4721	0	20
2024.01.02	16:00:00	0.89894	0.89940	0.89685	0.89741	4667	0	22
2024.01.02	17:00:00	0.89741	0.89849	0.89716	0.89788	2582	0	21
2024.01.02	18:00:00	0.89786	0.89876	0.89784	0.89828	1813	0	23
2024.01.02	19:00:00	0.89826	0.89831	0.89704	0.89723	1673	0	8
2024.01.02	20:00:00	0.89723	0.89730	0.89683	0.89697	1151	0	6
2024.01.02	21:00:00	0.89697	0.89716	0.89644	0.89664	1318	0	6
2024.01.02	22:00:00	0.89655	0.89710	0.89485	0.89499	428	0	2
2024.01.02	23:00:00	0.89505	0.89688	0.89463	0.89646	619	0	64
2024.01.03	00:00:00	0.89647	0.89740	0.89644	0.89738	695	0	7
2024.01.03	01:00:00	0.89738	0.89760	0.89671	0.89688	807	0	5
2024.01.03	02:00:00	0.89686	0.89740	0.89620	0.89651	2000	0	22
2024.01.03	03:00:00	0.89651	0.89651	0.89575	0.89608	1457	0	21
2024.01.03	04:00:00	0.89608	0.89750	0.89590	0.89730	1255	0	6
2024.01.03	05:00:00	0.89730	0.89760	0.89652	0.89672	912	0	6
2024.01.03	06:00:00	0.89672	0.89749	0.89640	0.89670	1094	0	5
2024.01.03	07:00:00	0.89669	0.89730	0.89648	0.89681	1084	0	5
2024.01.03	08:00:00	0.89686	0.89711	0.89590	0.89622	2229	0	23
2024.01.03	09:00:00	0.89624	0.89640	0.89512	0.89623	2526	0	24
2024.01.03	10:00:00	0.89623	0.89633	0.89501	0.89549	2218	0	21
2024.01.03	11:00:00	0.89549	0.89571	0.89457	0.89467	1281	0	21
2024.01.03	12:00:00	0.89467	0.89482	0.89351	0.89362	1481	0	24
2024.01.03	13:00:00	0.89364	0.89417	0.89329	0.89329	1750	0	23
2024.01.03	14:00:00	0.89333	0.89338	0.89195	0.89215	2537	0	23
2024.01.03	15:00:00	0.89215	0.89318	0.89139	0.89288	4589	0	22
2024.01.03	16:00:00	0.89288	0.89455	0.89152	0.89258	6553	0	23
2024.01.03	17:00:00	0.89254	0.89400	0.89232	0.89345	3492	0	24
2024.01.03	18:00:00	0.89345	0.89362	0.89292	0.89319	1893	0	8
2024.01.03	19:00:00	0.89320	0.89383	0.89273	0.89273	1612	0	10
2024.01.03	20:00:00	0.89273	0.89484	0.89225	0.89433	4711	0	23
2024.01.03	21:00:00	0.89433	0.89438	0.89339	0.89365	2354	0	20
2024.01.03	22:00:00	0.89369	0.89435	0.89254	0.89346	496	0	4
2024.01.03	23:00:00	0.89312	0.89423	0.89234	0.89395	703	0	79
2024.01.04	00:00:00	0.89395	0.89458	0.89380	0.89452	1204	0	8
2024.01.04	01:00:00	0.89452	0.89454	0.89377	0.89416	970	0	8
2024.01.04	02:00:00	0.89416	0.89469	0.89351	0.89436	1653	0	22
2024.01.04	03:00:00	0.89439	0.89466	0.89367	0.89455	1385	0	3
2024.01.04	04:00:00	0.89457	0.89621	0.89432	0.89545	1343	0	20
2024.01.04	05:00:00	0.89544	0.89603	0.89517	0.89571	816	0	7
2024.01.04	06:00:00	0.89571	0.89655	0.89537	0.89610	1354	0	24
2024.01.04	07:00:00	0.89610	0.89736	0.89606	0.89715	1434	0	21
2024.01.04	08:00:00	0.89715	0.89771	0.89628	0.89648	2810	0	22
2024.01.04	09:00:00	0.89654	0.89696	0.89551	0.89590	2722	0	22
2024.01.04	10:00:00	0.89590	0.89606	0.89480	0.89483	2123	0	22
2024.01.04	11:00:00	0.89483	0.89500	0.89392	0.89443	1992	0	23
2024.01.04	12:00:00	0.89442	0.89479	0.89359	0.89387	1432	0	23
2024.01.04	13:00:00	0.89386	0.89389	0.89273	0.89285	1753	0	6
2024.01.04	14:00:00	0.89285	0.89339	0.89174	0.89204	3338	0	23
2024.01.04	15:00:00	0.89208	0.89213	0.89061	0.89099	3399	0	23
2024.01.04	16:00:00	0.89097	0.89244	0.89095	0.89174	3437	0	21
2024.01.04	17:00:00	0.89174	0.89249	0.89125	0.89169	2719	0	22
2024.01.04	18:00:00	0.89169	0.89172	0.89013	0.89076	1746	0	20
2024.01.04	19:00:00	0.89076	0.89124	0.89051	0.89063	1127	0	5
2024.01.04	20:00:00	0.89063	0.89105	0.89037	0.89091	1038	0	6
2024.01.04	21:00:00	0.89088	0.89130	0.89068	0.89112	941	0	5
2024.01.04	22:00:00	0.89112	0.89162	0.89085	0.89129	586	0	4
2024.01.04	23:00:00	0.89128	0.89160	0.88989	0.89101	687	0	60
2024.01.05	00:00:00	0.89101	0.89173	0.89095	0.89141	747	0	7
2024.01.05	01:00:00	0.89141	0.89211	0.89107	0.89146	1177	0	5
2024.01.05	02:00:00	0.89145	0.89259	0.89135	0.89209	1764	0	3
2024.01.05	03:00:00	0.89208	0.89288	0.89183	0.89207	1102	0	4
2024.01.05	04:00:00	0.89207	0.89256	0.89122	0.89176	1056	0	4
2024.01.05	05:00:00	0.89176	0.89234	0.89114	0.89116	827	0	6
2024.01.05	06:00:00	0.89117	0.89191	0.89058	0.89162	1135	0	23
2024.01.05	07:00:00	0.89162	0.89177	0.89076	0.89102	1513	0	3
2024.01.05	08:00:00	0.89103	0.89257	0.89102	0.89154	1703	0	24
2024.01.05	09:00:00	0.89155	0.89202	0.89088	0.89118	2052	0	23
2024.01.05	10:00:00	0.89118	0.89131	0.88936	0.88960	1882	0	23
2024.01.05	11:00:00	0.88959	0.88987	0.88898	0.88932	1567	0	22
2024.01.05	12:00:00	0.88933	0.88961	0.88876	0.88939	1196	0	24
2024.01.05	13:00:00	0.88939	0.89006	0.88921	0.88999	1288	0	5
2024.01.05	14:00:00	0.89002	0.89059	0.88589	0.89030	6242	0	21
2024.01.05	15:00:00	0.89027	0.89190	0.89023	0.89133	6358	0	23
2024.01.05	16:00:00	0.89227	0.89443	0.89215	0.89320	7833	0	22
2024.01.05	17:00:00	0.89322	0.89365	0.89260	0.89294	3449	0	24
2024.01.05	18:00:00	0.89294	0.89295	0.89195	0.89272	2809	0	25
2024.01.05	19:00:00	0.89274	0.89328	0.89197	0.89315	1963	0	24
2024.01.05	20:00:00	0.89314	0.89348	0.89219	0.89251	1789	0	25
2024.01.05	21:00:00	0.89251	0.89300	0.89232	0.89283	1479	0	23
2024.01.07	23:00:00	0.89198	0.89208	0.88978	0.89145	568	0	141
2024.01.08	00:00:00	0.89147	0.89302	0.89137	0.89289	855	0	8
2024.01.08	01:00:00	0.89289	0.89350	0.89281	0.89343	787	0	5
2024.01.08	02:00:00	0.89341	0.89445	0.89321	0.89359	1915	0	6
