<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	23:00:00	0.68070	0.68130	0.68043	0.68057	555	0	9
2024.01.02	00:00:00	0.68056	0.68122	0.68055	0.68086	1298	0	6
2024.01.02	01:00:00	0.68089	0.68141	0.68080	0.68134	1453	0	6
2024.01.02	02:00:00	0.68131	0.68222	0.68096	0.68118	3515	0	6
2024.01.02	03:00:00	0.68118	0.68134	0.68023	0.68039	2117	0	6
2024.01.02	04:00:00	0.68038	0.68185	0.68016	0.68141	1858	0	6
2024.01.02	05:00:00	0.68141	0.68202	0.68128	0.68186	1236	0	6
2024.01.02	06:00:00	0.68186	0.68387	0.68186	0.68382	2275	0	6
2024.01.02	07:00:00	0.68383	0.68384	0.68237	0.68258	2038	0	4
2024.01.02	08:00:00	0.68257	0.68297	0.68184	0.68190	3257	0	4
2024.01.02	09:00:00	0.68191	0.68333	0.68191	0.68242	3774	0	12
2024.01.02	10:00:00	0.68242	0.68319	0.68205	0.68209	2944	0	3
2024.01.02	11:00:00	0.68208	0.68237	0.68104	0.68160	2703	0	3
2024.01.02	12:00:00	0.68157	0.68157	0.67952	0.67997	3427	0	3
2024.01.02	13:00:00	0.67997	0.68002	0.67839	0.67850	3028	0	3
2024.01.02	14:00:00	0.67850	0.67895	0.67769	0.67793	4037	0	3
2024.01.02	15:00:00	0.67794	0.67870	0.67736	0.67863	6079	0	12
2024.01.02	16:00:00	0.67862	0.67905	0.67605	0.67675	6750	0	12
2024.01.02	17:00:00	0.67674	0.67796	0.67623	0.67700	3778	0	3
2024.01.02	18:00:00	0.67700	0.67774	0.67682	0.67727	2573	0	3
2024.01.02	19:00:00	0.67726	0.67731	0.67626	0.67639	2342	0	3
2024.01.02	20:00:00	0.67638	0.67652	0.67602	0.67603	1819	0	3
2024.01.02	21:00:00	0.67602	0.67626	0.67565	0.67573	1805	0	3
2024.01.02	22:00:00	0.67574	0.67611	0.67564	0.67590	775	0	2
2024.01.02	23:00:00	0.67588	0.67649	0.67558	0.67636	1197	0	14
2024.01.03	00:00:00	0.67636	0.67662	0.67635	0.67658	832	0	6
2024.01.03	01:00:00	0.67661	0.67701	0.67623	0.67635	1459	0	6
2024.01.03	02:00:00	0.67634	0.67664	0.67517	0.67560	3284	0	6
2024.01.03	03:00:00	0.67559	0.67564	0.67503	0.67549	2149	0	6
2024.01.03	04:00:00	0.67550	0.67666	0.67525	0.67656	2106	0	6
