<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	23:00:00	1.45520	1.45769	1.45510	1.45706	270	0	133
2024.01.02	00:00:00	1.45706	1.45754	1.45622	1.45625	1110	0	51
2024.01.02	01:00:00	1.45623	1.45703	1.45593	1.45649	912	0	50
2024.01.02	02:00:00	1.45649	1.45789	1.45628	1.45750	2437	0	50
2024.01.02	03:00:00	1.45750	1.45791	1.45633	1.45652	1902	0	50
2024.01.02	04:00:00	1.45651	1.45781	1.45627	1.45781	1224	0	12
2024.01.02	05:00:00	1.45781	1.45791	1.45623	1.45664	1446	0	52
2024.01.02	06:00:00	1.45664	1.45764	1.45661	1.45740	2186	0	50
2024.01.02	07:00:00	1.45742	1.45777	1.45718	1.45746	1666	0	52
2024.01.02	08:00:00	1.45746	1.45856	1.45647	1.45651	4027	0	50
2024.01.02	09:00:00	1.45655	1.45816	1.45655	1.45783	4748	0	50
2024.01.02	10:00:00	1.45783	1.45891	1.45641	1.45686	4099	0	50
2024.01.02	11:00:00	1.45683	1.45698	1.45544	1.45622	3893	0	50
2024.01.02	12:00:00	1.45622	1.45628	1.45291	1.45305	4831	0	50
2024.01.02	13:00:00	1.45308	1.45352	1.45233	1.45237	3758	0	50
2024.01.02	14:00:00	1.45239	1.45343	1.45218	1.45266	5524	0	50
2024.01.02	15:00:00	1.45266	1.45292	1.45131	1.45206	6713	0	50
2024.01.02	16:00:00	1.45208	1.45293	1.45078	1.45101	7144	0	50
2024.01.02	17:00:00	1.45101	1.45319	1.45074	1.45294	4028	0	50
2024.01.02	18:00:00	1.45291	1.45302	1.45185	1.45220	2821	0	50
2024.01.02	19:00:00	1.45220	1.45296	1.45177	1.45184	2529	0	51
2024.01.02	20:00:00	1.45184	1.45220	1.45144	1.45218	1836	0	51
2024.01.02	21:00:00	1.45218	1.45269	1.45173	1.45189	2155	0	52
2024.01.02	22:00:00	1.45168	1.45173	1.44917	1.44923	1175	0	50
2024.01.02	23:00:00	1.44926	1.45100	1.44768	1.45009	338	0	78
2024.01.03	00:00:00	1.45016	1.45130	1.45004	1.45102	894	0	50
2024.01.03	01:00:00	1.45102	1.45182	1.45099	1.45178	920	0	50
2024.01.03	02:00:00	1.45178	1.45334	1.45165	1.45302	2315	0	50
2024.01.03	03:00:00	1.45302	1.45335	1.45245	1.45272	1671	0	50
2024.01.03	04:00:00	1.45281	1.45388	1.45229	1.45355	1302	0	50
2024.01.03	05:00:00	1.45349	1.45374	1.45303	1.45343	686	0	50
2024.01.03	06:00:00	1.45343	1.45349	1.45164	1.45165	1285	0	50
2024.01.03	07:00:00	1.45165	1.45276	1.45164	1.45251	1402	0	50
2024.01.03	08:00:00	1.45251	1.45396	1.45220	1.45367	3950	0	50
2024.01.03	09:00:00	1.45363	1.45389	1.45220	1.45288	5505	0	50
2024.01.03	10:00:00	1.45288	1.45331	1.45074	1.45100	5118	0	50
2024.01.03	11:00:00	1.45099	1.45120	1.44999	1.44999	3758	0	50
2024.01.03	12:00:00	1.44999	1.45047	1.44954	1.45007	4094	0	50
2024.01.03	13:00:00	1.45005	1.45109	1.44950	1.44958	4077	0	50
2024.01.03	14:00:00	1.44959	1.45102	1.44919	1.45099	5967	0	50
2024.01.03	15:00:00	1.45099	1.45118	1.45000	1.45063	6393	0	50
2024.01.03	16:00:00	1.45063	1.45217	1.44931	1.45001	8893	0	50
2024.01.03	17:00:00	1.45001	1.45107	1.44983	1.45037	5371	0	50
2024.01.03	18:00:00	1.45038	1.45050	1.44936	1.44958	3524	0	50
2024.01.03	19:00:00	1.44957	1.45017	1.44880	1.44880	2998	0	50
2024.01.03	20:00:00	1.44878	1.45117	1.44835	1.45074	6781	0	50
2024.01.03	21:00:00	1.45080	1.45136	1.45063	1.45108	4828	0	50
2024.01.03	22:00:00	1.45098	1.45124	1.45059	1.45088	1037	0	50
2024.01.03	23:00:00	1.45072	1.45114	1.44829	1.45068	563	0	79
2024.01.04	00:00:00	1.45068	1.45170	1.45068	1.45113	1171	0	50
2024.01.04	01:00:00	1.45113	1.45116	1.45048	1.45110	1774	0	50
2024.01.04	02:00:00	1.45110	1.45132	1.45053	1.45082	2021	0	50
2024.01.04	03:00:00	1.45082	1.45193	1.45078	1.45161	1327	0	50
2024.01.04	04:00:00	1.45160	1.45200	1.45148	1.45172	1864	0	50
2024.01.04	05:00:00	1.45172	1.45222	1.45159	1.45203	1510	0	51
2024.01.04	06:00:00	1.45203	1.45270	1.45191	1.45268	2089	0	51
2024.01.04	07:00:00	1.45268	1.45306	1.45136	1.45231	2737	0	50
2024.01.04	08:00:00	1.45231	1.45238	1.45126	1.45180	4540	0	50
2024.01.04	09:00:00	1.45178	1.45388	1.45158	1.45373	5157	0	50
2024.01.04	10:00:00	1.45373	1.45558	1.45345	1.45540	4560	0	50
2024.01.04	11:00:00	1.45540	1.45603	1.45448	1.45475	3828	0	50
2024.01.04	12:00:00	1.45475	1.45492	1.45384	1.45431	2615	0	50
2024.01.04	13:00:00	1.45432	1.45476	1.45388	1.45422	3051	0	50
2024.01.04	14:00:00	1.45421	1.45487	1.45294	1.45472	5532	0	50
2024.01.04	15:00:00	1.45472	1.45544	1.45394	1.45537	5655	0	50
2024.01.04	16:00:00	1.45536	1.45699	1.45535	1.45579	6562	0	50
2024.01.04	17:00:00	1.45580	1.45674	1.45576	1.45612	5462	0	50
2024.01.04	18:00:00	1.45612	1.45652	1.45444	1.45513	3185	0	50
2024.01.04	19:00:00	1.45514	1.45576	1.45471	1.45478	2782	0	50
2024.01.04	20:00:00	1.45478	1.45506	1.45449	1.45479	2144	0	50
2024.01.04	21:00:00	1.45478	1.45525	1.45446	1.45525	1969	0	51
2024.01.04	22:00:00	1.45525	1.45533	1.45451	1.45458	1335	0	52
2024.01.04	23:00:00	1.45459	1.45532	1.45283	1.45471	671	0	82
2024.01.05	00:00:00	1.45470	1.45523	1.45454	1.45499	898	0	32
2024.01.05	01:00:00	1.45499	1.45544	1.45480	1.45544	1765	0	50
2024.01.05	02:00:00	1.45544	1.45613	1.45513	1.45571	2415	0	50
2024.01.05	03:00:00	1.45572	1.45587	1.45528	1.45561	1656	0	50
2024.01.05	04:00:00	1.45560	1.45573	1.45507	1.45535	1331	0	50
2024.01.05	05:00:00	1.45534	1.45579	1.45495	1.45506	1280	0	51
2024.01.05	06:00:00	1.45508	1.45527	1.45436	1.45469	1284	0	50
2024.01.05	07:00:00	1.45470	1.45500	1.45390	1.45462	2070	0	50
2024.01.05	08:00:00	1.45462	1.45465	1.45367	1.45379	3303	0	50
2024.01.05	09:00:00	1.45382	1.45394	1.45187	1.45236	4545	0	50
2024.01.05	10:00:00	1.45235	1.45396	1.45190	1.45270	4585	0	50
2024.01.05	11:00:00	1.45272	1.45282	1.45163	1.45236	3706	0	50
2024.01.05	12:00:00	1.45236	1.45330	1.45203	1.45295	2801	0	50
