<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	23:00:00	1.10436	1.10451	1.10411	1.10431	389	0	11
2024.01.02	00:00:00	1.10429	1.10440	1.10354	1.10362	986	0	3
2024.01.02	01:00:00	1.10362	1.10382	1.10339	1.10379	950	0	3
2024.01.02	02:00:00	1.10379	1.10430	1.10340	1.10346	2514	0	4
2024.01.02	03:00:00	1.10346	1.10358	1.10180	1.10186	2440	0	2
2024.01.02	04:00:00	1.10186	1.10245	1.10176	1.10243	1125	0	2
2024.01.02	05:00:00	1.10243	1.10247	1.10163	1.10206	827	0	3
2024.01.02	06:00:00	1.10206	1.10335	1.10205	1.10332	1419	0	2
2024.01.02	07:00:00	1.10332	1.10349	1.10266	1.10284	1646	0	1
2024.01.02	08:00:00	1.10284	1.10377	1.10149	1.10151	3417	0	2
2024.01.02	09:00:00	1.10157	1.10384	1.10157	1.10295	4162	0	1
2024.01.02	10:00:00	1.10294	1.10377	1.10104	1.10149	3212	0	2
2024.01.02	11:00:00	1.10149	1.10166	1.09968	1.10072	3351	0	1
2024.01.02	12:00:00	1.10072	1.10074	1.09663	1.09691	4265	0	3
2024.01.02	13:00:00	1.09691	1.09716	1.09534	1.09534	3414	0	1
2024.01.02	14:00:00	1.09535	1.09649	1.09492	1.09526	4778	0	1
2024.01.02	15:00:00	1.09524	1.09639	1.09445	1.09630	5985	0	1
2024.01.02	16:00:00	1.09629	1.09680	1.09409	1.09435	6445	0	2
2024.01.02	17:00:00	1.09436	1.09614	1.09407	1.09562	4081	0	2
2024.01.02	18:00:00	1.09562	1.09573	1.09456	1.09504	2870	0	2
2024.01.02	19:00:00	1.09503	1.09557	1.09461	1.09465	2449	0	2
2024.01.02	20:00:00	1.09464	1.09500	1.09425	1.09463	1884	0	1
2024.01.02	21:00:00	1.09462	1.09510	1.09419	1.09429	2479	0	1
2024.01.02	22:00:00	1.09429	1.09430	1.09381	1.09410	1275	0	2
2024.01.02	23:00:00	1.09417	1.09438	1.09362	1.09411	583	0	8
2024.01.03	00:00:00	1.09413	1.09436	1.09404	1.09412	886	0	3
2024.01.03	01:00:00	1.09413	1.09503	1.09409	1.09492	930	0	3
2024.01.03	02:00:00	1.09491	1.09545	1.09446	1.09511	1950	0	3
2024.01.03	03:00:00	1.09511	1.09529	1.09484	1.09520	1440	0	3
2024.01.03	04:00:00	1.09520	1.09619	1.09484	1.09606	1179	0	3
2024.01.03	05:00:00	1.09603	1.09621	1.09585	1.09620	889	0	3
2024.01.03	06:00:00	1.09621	1.09625	1.09510	1.09511	1363	0	3
2024.01.03	07:00:00	1.09510	1.09606	1.09509	1.09586	1163	0	1
2024.01.03	08:00:00	1.09577	1.09625	1.09513	1.09600	3117	0	1
2024.01.03	09:00:00	1.09602	1.09652	1.09500	1.09524	4376	0	1
2024.01.03	10:00:00	1.09523	1.09561	1.09345	1.09361	3899	0	1
2024.01.03	11:00:00	1.09359	1.09387	1.09260	1.09277	2964	0	1
2024.01.03	12:00:00	1.09278	1.09295	1.09151	1.09192	3431	0	2
2024.01.03	13:00:00	1.09192	1.09320	1.09143	1.09166	3394	0	2
2024.01.03	14:00:00	1.09165	1.09298	1.09098	1.09214	5294	0	2
2024.01.03	15:00:00	1.09214	1.09263	1.09096	1.09186	5860	0	2
2024.01.03	16:00:00	1.09181	1.09386	1.08978	1.09045	8369	0	1
2024.01.03	17:00:00	1.09045	1.09181	1.09026	1.09079	5269	0	1
2024.01.03	18:00:00	1.09080	1.09099	1.09030	1.09065	3530	0	1
2024.01.03	19:00:00	1.09065	1.09147	1.09025	1.09054	2784	0	2
2024.01.03	20:00:00	1.09055	1.09255	1.08927	1.09172	7044	0	1
2024.01.03	21:00:00	1.09175	1.09231	1.09146	1.09209	4124	0	1
2024.01.03	22:00:00	1.09209	1.09234	1.09184	1.09217	1322	0	4
2024.01.03	23:00:00	1.09208	1.09215	1.09067	1.09204	647	0	8
2024.01.04	00:00:00	1.09206	1.09273	1.09206	1.09256	907	0	3
2024.01.04	01:00:00	1.09256	1.09264	1.09192	1.09222	1405	0	2
2024.01.04	02:00:00	1.09222	1.09238	1.09160	1.09176	1885	0	3
2024.01.04	03:00:00	1.09176	1.09198	1.09158	1.09192	1189	0	3
2024.01.04	04:00:00	1.09192	1.09304	1.09191	1.09259	1254	0	2
2024.01.04	05:00:00	1.09259	1.09284	1.09244	1.09257	1143	0	2
2024.01.04	06:00:00	1.09257	1.09266	1.09217	1.09263	2021	0	3
2024.01.04	07:00:00	1.09263	1.09343	1.09206	1.09322	2087	0	2
2024.01.04	08:00:00	1.09320	1.09435	1.09293	1.09376	3557	0	2
2024.01.04	09:00:00	1.09373	1.09556	1.09344	1.09530	4651	0	1
2024.01.04	10:00:00	1.09528	1.09688	1.09451	1.09673	4333	0	1
2024.01.04	11:00:00	1.09673	1.09720	1.09540	1.09553	3310	0	1
2024.01.04	12:00:00	1.09553	1.09576	1.09459	1.09476	2542	0	1
2024.01.04	13:00:00	1.09477	1.09555	1.09465	1.09520	2858	0	3
