<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	23:00:00	1.27211	1.27320	1.27164	1.27255	510	0	1
2024.01.02	00:00:00	1.27260	1.27345	1.27253	1.27268	1522	0	5
2024.01.02	01:00:00	1.27276	1.27295	1.27206	1.27247	1637	0	5
2024.01.02	02:00:00	1.27245	1.27322	1.27192	1.27199	2574	0	5
2024.01.02	03:00:00	1.27198	1.27246	1.27091	1.27098	1746	0	5
2024.01.02	04:00:00	1.27098	1.27190	1.27087	1.27186	1693	0	5
2024.01.02	05:00:00	1.27179	1.27187	1.27103	1.27137	1006	0	5
2024.01.02	06:00:00	1.27137	1.27399	1.27135	1.27358	2072	0	5
2024.01.02	07:00:00	1.27360	1.27362	1.27282	1.27312	2064	0	2
2024.01.02	08:00:00	1.27293	1.27429	1.27257	1.27313	3831	0	1
2024.01.02	09:00:00	1.27316	1.27588	1.27282	1.27489	4819	0	1
2024.01.02	10:00:00	1.27489	1.27555	1.27163	1.27167	3889	0	17
2024.01.02	11:00:00	1.27167	1.27176	1.26911	1.26942	4590	0	17
2024.01.02	12:00:00	1.26938	1.26938	1.26530	1.26613	5134	0	1
2024.01.02	13:00:00	1.26615	1.26620	1.26384	1.26427	4612	0	17
2024.01.02	14:00:00	1.26431	1.26474	1.26204	1.26288	4758	0	1
2024.01.02	15:00:00	1.26281	1.26438	1.26194	1.26275	6645	0	17
2024.01.02	16:00:00	1.26273	1.26364	1.26143	1.26243	7165	0	17
2024.01.02	17:00:00	1.26243	1.26341	1.26097	1.26288	4772	0	17
2024.01.02	18:00:00	1.26287	1.26361	1.26214	1.26320	3239	0	3
2024.01.02	19:00:00	1.26321	1.26339	1.26226	1.26252	2465	0	3
2024.01.02	20:00:00	1.26250	1.26264	1.26187	1.26192	2298	0	3
2024.01.02	21:00:00	1.26190	1.26255	1.26150	1.26167	2610	0	3
2024.01.02	22:00:00	1.26167	1.26209	1.26149	1.26171	1213	0	2
2024.01.02	23:00:00	1.26114	1.26200	1.26101	1.26198	1058	0	21
2024.01.03	00:00:00	1.26198	1.26241	1.26182	1.26214	841	0	5
2024.01.03	01:00:00	1.26217	1.26314	1.26188	1.26303	1594	0	5
2024.01.03	02:00:00	1.26303	1.26330	1.26242	1.26281	2569	0	5
2024.01.03	03:00:00	1.26282	1.26305	1.26255	1.26281	1438	0	5
2024.01.03	04:00:00	1.26280	1.26406	1.26280	1.26397	1826	0	5
2024.01.03	05:00:00	1.26398	1.26416	1.26370	1.26404	1356	0	5
2024.01.03	06:00:00	1.26405	1.26407	1.26289	1.26297	1529	0	5
2024.01.03	07:00:00	1.26296	1.26463	1.26296	1.26428	1616	0	2
2024.01.03	08:00:00	1.26422	1.26458	1.26235	1.26423	3797	0	2
2024.01.03	09:00:00	1.26425	1.26514	1.26345	1.26407	4518	0	1
2024.01.03	10:00:00	1.26407	1.26460	1.26246	1.26271	3990	0	1
2024.01.03	11:00:00	1.26270	1.26306	1.26189	1.26256	3157	0	1
2024.01.03	12:00:00	1.26256	1.26303	1.26176	1.26258	3373	0	1
2024.01.03	13:00:00	1.26258	1.26412	1.26192	1.26237	3039	0	1
2024.01.03	14:00:00	1.26235	1.26421	1.26172	1.26289	4963	0	17
2024.01.03	15:00:00	1.26289	1.26411	1.26166	1.26290	6308	0	17
2024.01.03	16:00:00	1.26290	1.26554	1.26147	1.26271	8397	0	17
2024.01.03	17:00:00	1.26270	1.26496	1.26261	1.26399	5844	0	17
2024.01.03	18:00:00	1.26399	1.26471	1.26361	1.26438	3438	0	3
2024.01.03	19:00:00	1.26439	1.26538	1.26400	1.26455	3310	0	3
2024.01.03	20:00:00	1.26456	1.26755	1.26299	1.26629	7476	0	19
2024.01.03	21:00:00	1.26633	1.26662	1.26532	1.26629	4719	0	3
2024.01.03	22:00:00	1.26627	1.26676	1.26604	1.26630	1395	0	11
2024.01.03	23:00:00	1.26602	1.26667	1.26518	1.26616	998	0	21
2024.01.04	00:00:00	1.26616	1.26727	1.26616	1.26722	1047	0	5
2024.01.04	01:00:00	1.26731	1.26731	1.26650	1.26682	1534	0	5
2024.01.04	02:00:00	1.26681	1.26692	1.26590	1.26614	2342	0	5
2024.01.04	03:00:00	1.26614	1.26630	1.26558	1.26590	1588	0	5
2024.01.04	04:00:00	1.26591	1.26735	1.26581	1.26725	1794	0	5
