<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.01	00:01:00	1.34910	1.34910	1.34910	1.34910	1	0	99
2025.09.01	00:02:00	1.34910	1.34910	1.34910	1.34910	1	0	99
2025.09.01	00:03:00	1.34918	1.34918	1.34918	1.34918	1	0	91
2025.09.01	00:05:00	1.34918	1.34918	1.34918	1.34918	1	0	97
2025.09.01	00:06:00	1.34922	1.34935	1.34922	1.34934	3	0	113
2025.09.01	00:07:00	1.34934	1.34940	1.34934	1.34940	3	0	102
2025.09.01	00:08:00	1.34940	1.34956	1.34934	1.34955	9	0	68
2025.09.01	00:09:00	1.34955	1.35021	1.34955	1.34993	14	0	102
2025.09.01	00:10:00	1.34993	1.35007	1.34978	1.35007	5	0	124
2025.09.01	00:11:00	1.35007	1.35007	1.34998	1.35005	4	0	87
2025.09.01	00:12:00	1.35005	1.35006	1.34971	1.34971	4	0	87
2025.09.01	00:13:00	1.34974	1.34976	1.34974	1.34976	4	0	95
2025.09.01	00:14:00	1.34975	1.34976	1.34973	1.34976	5	0	76
2025.09.01	00:15:00	1.34976	1.34977	1.34954	1.34977	7	0	66
2025.09.01	00:16:00	1.34977	1.34977	1.34975	1.34975	5	0	109
2025.09.01	00:17:00	1.34975	1.34976	1.34975	1.34975	3	0	115
2025.09.01	00:18:00	1.34975	1.35000	1.34975	1.35000	3	0	94
2025.09.01	00:19:00	1.35002	1.35023	1.35002	1.35006	7	0	61
2025.09.01	00:20:00	1.35006	1.35006	1.35006	1.35006	1	0	104
2025.09.01	00:21:00	1.35006	1.35006	1.34998	1.34998	2	0	104
2025.09.01	00:22:00	1.34998	1.35004	1.34998	1.35004	2	0	108
2025.09.01	00:23:00	1.35004	1.35004	1.34997	1.34997	2	0	109
2025.09.01	00:24:00	1.34997	1.34997	1.34997	1.34997	1	0	131
2025.09.01	00:25:00	1.34997	1.34997	1.34954	1.34989	3	0	131
2025.09.01	00:26:00	1.34989	1.34989	1.34989	1.34989	1	0	139
2025.09.01	00:27:00	1.34989	1.34989	1.34989	1.34989	1	0	139
2025.09.01	00:28:00	1.34989	1.34989	1.34989	1.34989	1	0	139
2025.09.01	00:29:00	1.34989	1.34989	1.34989	1.34989	1	0	139
2025.09.01	00:30:00	1.35013	1.35013	1.35013	1.35013	1	0	87
2025.09.01	00:31:00	1.35013	1.35013	1.34992	1.35012	4	0	90
2025.09.01	00:32:00	1.35012	1.35012	1.34992	1.35012	3	0	91
2025.09.01	00:33:00	1.35012	1.35012	1.35012	1.35012	1	0	91
2025.09.01	00:34:00	1.35013	1.35013	1.35013	1.35013	1	0	92
2025.09.01	00:35:00	1.35013	1.35013	1.35013	1.35013	1	0	102
2025.09.01	00:36:00	1.35013	1.35018	1.35013	1.35018	2	0	88
2025.09.01	00:37:00	1.35023	1.35023	1.35017	1.35017	2	0	80
2025.09.01	00:38:00	1.35017	1.35022	1.35017	1.35017	3	0	78
2025.09.01	00:39:00	1.35017	1.35023	1.35017	1.35023	2	0	77
2025.09.01	00:40:00	1.35023	1.35023	1.35018	1.35022	3	0	77
2025.09.01	00:41:00	1.35022	1.35022	1.35018	1.35018	2	0	77
2025.09.01	00:42:00	1.35018	1.35019	1.35018	1.35019	2	0	81
2025.09.01	00:43:00	1.35019	1.35027	1.35018	1.35018	8	0	73
2025.09.01	00:44:00	1.35018	1.35018	1.35018	1.35018	1	0	81
2025.09.01	00:45:00	1.35018	1.35018	1.35018	1.35018	1	0	82
2025.09.01	00:46:00	1.35018	1.35018	1.35002	1.35002	3	0	81
2025.09.01	00:47:00	1.35002	1.35002	1.35002	1.35002	1	0	116
2025.09.01	00:48:00	1.35002	1.35002	1.35002	1.35002	1	0	114
2025.09.01	00:49:00	1.35002	1.35002	1.34953	1.34981	7	0	90
2025.09.01	00:50:00	1.34981	1.35017	1.34981	1.35017	6	0	58
2025.09.01	00:51:00	1.35017	1.35017	1.35017	1.35017	1	0	62
2025.09.01	00:52:00	1.35017	1.35017	1.35017	1.35017	1	0	64
2025.09.01	00:53:00	1.35017	1.35017	1.35017	1.35017	1	0	56
2025.09.01	00:54:00	1.35017	1.35017	1.35017	1.35017	1	0	55
2025.09.01	00:55:00	1.35013	1.35013	1.35000	1.35005	5	0	72
2025.09.01	00:56:00	1.35005	1.35009	1.35005	1.35005	3	0	65
2025.09.01	00:57:00	1.35005	1.35005	1.34986	1.34996	5	0	75
2025.09.01	00:58:00	1.34996	1.34996	1.34996	1.34996	1	0	96
2025.09.01	00:59:00	1.34996	1.34996	1.34986	1.34986	3	0	96
2025.09.01	01:00:00	1.34967	1.35052	1.34967	1.35046	82	0	18
2025.09.01	01:01:00	1.35046	1.35072	1.35041	1.35065	22	0	19
2025.09.01	01:02:00	1.35065	1.35065	1.35062	1.35062	3	0	28
2025.09.01	01:03:00	1.35068	1.35069	1.35052	1.35052	5	0	26
2025.09.01	01:04:00	1.35052	1.35052	1.35048	1.35048	2	0	30
2025.09.01	01:05:00	1.35048	1.35048	1.35032	1.35032	2	0	25
2025.09.01	01:06:00	1.35032	1.35048	1.35032	1.35048	17	0	23
2025.09.01	01:07:00	1.35044	1.35044	1.35029	1.35031	16	0	25
2025.09.01	01:08:00	1.35031	1.35051	1.35031	1.35051	7	0	29
2025.09.01	01:09:00	1.35052	1.35053	1.35032	1.35039	9	0	21
2025.09.01	01:10:00	1.35049	1.35052	1.35043	1.35046	22	0	22
2025.09.01	01:11:00	1.35051	1.35063	1.35043	1.35056	45	0	20
2025.09.01	01:12:00	1.35055	1.35061	1.35048	1.35048	49	0	23
2025.09.01	01:13:00	1.35054	1.35064	1.35050	1.35060	10	0	22
2025.09.01	01:14:00	1.35060	1.35066	1.35052	1.35052	27	0	22
2025.09.01	01:15:00	1.35050	1.35054	1.35050	1.35053	25	0	22
2025.09.01	01:16:00	1.35054	1.35055	1.35053	1.35054	14	0	21
2025.09.01	01:17:00	1.35053	1.35055	1.35052	1.35052	13	0	20
2025.09.01	01:18:00	1.35053	1.35063	1.35052	1.35056	34	0	18
2025.09.01	01:19:00	1.35056	1.35057	1.35046	1.35048	11	0	18
2025.09.01	01:20:00	1.35048	1.35055	1.35048	1.35052	13	0	18
2025.09.01	01:21:00	1.35052	1.35052	1.35046	1.35046	27	0	18
2025.09.01	01:22:00	1.35048	1.35049	1.35047	1.35047	15	0	18
2025.09.01	01:23:00	1.35047	1.35047	1.35044	1.35045	3	0	18
2025.09.01	01:24:00	1.35045	1.35052	1.35045	1.35045	7	0	18
2025.09.01	01:25:00	1.35045	1.35047	1.35041	1.35041	18	0	18
2025.09.01	01:26:00	1.35042	1.35051	1.35041	1.35051	7	0	18
2025.09.01	01:27:00	1.35051	1.35051	1.35044	1.35044	9	0	18
2025.09.01	01:28:00	1.35044	1.35044	1.35040	1.35041	9	0	18
2025.09.01	01:29:00	1.35043	1.35047	1.35038	1.35043	35	0	18
2025.09.01	01:30:00	1.35042	1.35042	1.35034	1.35037	5	0	18
2025.09.01	01:31:00	1.35037	1.35040	1.35037	1.35038	9	0	18
2025.09.01	01:32:00	1.35038	1.35042	1.35035	1.35035	14	0	18
2025.09.01	01:33:00	1.35037	1.35037	1.35035	1.35035	13	0	18
2025.09.01	01:34:00	1.35035	1.35042	1.35034	1.35039	14	0	18
2025.09.01	01:35:00	1.35040	1.35042	1.35039	1.35039	9	0	18
2025.09.01	01:36:00	1.35039	1.35039	1.35039	1.35039	1	0	19
2025.09.01	01:37:00	1.35039	1.35045	1.35039	1.35044	9	0	18
2025.09.01	01:38:00	1.35044	1.35044	1.35032	1.35042	7	0	18
2025.09.01	01:39:00	1.35042	1.35042	1.35039	1.35042	5	0	18
2025.09.01	01:40:00	1.35042	1.35042	1.35038	1.35038	6	0	18
2025.09.01	01:41:00	1.35038	1.35042	1.35034	1.35042	8	0	18
2025.09.01	01:42:00	1.35042	1.35042	1.35034	1.35035	13	0	18
2025.09.01	01:43:00	1.35034	1.35035	1.35034	1.35035	6	0	18
2025.09.01	01:44:00	1.35035	1.35035	1.35034	1.35034	2	0	18
2025.09.01	01:45:00	1.35035	1.35035	1.35033	1.35034	6	0	18
2025.09.01	01:46:00	1.35034	1.35034	1.35033	1.35034	3	0	18
2025.09.01	01:47:00	1.35034	1.35035	1.35034	1.35034	3	0	18
2025.09.01	01:48:00	1.35034	1.35035	1.35034	1.35034	3	0	18
2025.09.01	01:49:00	1.35034	1.35034	1.35026	1.35031	7	0	18
2025.09.01	01:50:00	1.35032	1.35032	1.35032	1.35032	1	0	18
2025.09.01	01:51:00	1.35032	1.35036	1.35032	1.35032	10	0	18
2025.09.01	01:52:00	1.35027	1.35030	1.35024	1.35030	6	0	18
2025.09.01	01:53:00	1.35030	1.35032	1.35028	1.35029	7	0	18
2025.09.01	01:54:00	1.35031	1.35031	1.35024	1.35024	8	0	18
2025.09.01	01:55:00	1.35024	1.35024	1.35018	1.35018	3	0	18
2025.09.01	01:56:00	1.35018	1.35022	1.35017	1.35019	15	0	18
2025.09.01	01:57:00	1.35020	1.35020	1.35007	1.35014	22	0	18
2025.09.01	01:58:00	1.35014	1.35014	1.35013	1.35014	3	0	18
2025.09.01	01:59:00	1.35014	1.35022	1.35014	1.35021	10	0	18
2025.09.01	02:00:00	1.35021	1.35023	1.35016	1.35017	27	0	18
2025.09.01	02:01:00	1.35017	1.35027	1.35017	1.35026	18	0	18
2025.09.01	02:02:00	1.35026	1.35026	1.35019	1.35022	12	0	18
2025.09.01	02:03:00	1.35022	1.35031	1.35021	1.35031	14	0	18
2025.09.01	02:04:00	1.35031	1.35043	1.35031	1.35042	11	0	18
2025.09.01	02:05:00	1.35043	1.35043	1.35030	1.35032	8	0	18
2025.09.01	02:06:00	1.35032	1.35032	1.35029	1.35029	4	0	19
2025.09.01	02:07:00	1.35030	1.35031	1.35024	1.35025	19	0	18
2025.09.01	02:08:00	1.35024	1.35025	1.35020	1.35022	18	0	18
2025.09.01	02:09:00	1.35021	1.35022	1.35013	1.35018	26	0	18
2025.09.01	02:10:00	1.35018	1.35022	1.35018	1.35022	10	0	18
2025.09.01	02:11:00	1.35022	1.35022	1.35022	1.35022	1	0	18
2025.09.01	02:12:00	1.35022	1.35025	1.35022	1.35025	6	0	18
2025.09.01	02:13:00	1.35024	1.35025	1.35022	1.35022	9	0	18
2025.09.01	02:14:00	1.35022	1.35024	1.35022	1.35023	20	0	18
2025.09.01	02:15:00	1.35023	1.35024	1.35022	1.35023	9	0	18
2025.09.01	02:16:00	1.35024	1.35024	1.35022	1.35022	11	0	18
2025.09.01	02:17:00	1.35022	1.35022	1.35019	1.35022	7	0	18
2025.09.01	02:18:00	1.35022	1.35025	1.35022	1.35023	5	0	18
2025.09.01	02:19:00	1.35023	1.35023	1.35018	1.35018	11	0	18
2025.09.01	02:20:00	1.35018	1.35022	1.35018	1.35022	6	0	18
2025.09.01	02:21:00	1.35022	1.35034	1.35021	1.35034	9	0	18
2025.09.01	02:22:00	1.35034	1.35043	1.35034	1.35042	10	0	18
2025.09.01	02:23:00	1.35042	1.35044	1.35040	1.35043	14	0	18
2025.09.01	02:24:00	1.35043	1.35044	1.35042	1.35042	18	0	18
2025.09.01	02:25:00	1.35042	1.35042	1.35032	1.35032	6	0	18
2025.09.01	02:26:00	1.35033	1.35034	1.35033	1.35034	2	0	18
2025.09.01	02:27:00	1.35034	1.35034	1.35014	1.35023	21	0	18
2025.09.01	02:28:00	1.35023	1.35025	1.35022	1.35022	5	0	18
2025.09.01	02:29:00	1.35022	1.35022	1.35013	1.35017	10	0	18
2025.09.01	02:30:00	1.35016	1.35024	1.35013	1.35023	12	0	18
2025.09.01	02:31:00	1.35023	1.35025	1.35022	1.35022	6	0	18
2025.09.01	02:32:00	1.35022	1.35024	1.35018	1.35019	14	0	18
2025.09.01	02:33:00	1.35019	1.35031	1.35019	1.35031	17	0	18
2025.09.01	02:34:00	1.35031	1.35032	1.35031	1.35031	9	0	18
2025.09.01	02:35:00	1.35031	1.35031	1.35020	1.35023	20	0	18
2025.09.01	02:36:00	1.35024	1.35024	1.35019	1.35022	6	0	18
2025.09.01	02:37:00	1.35022	1.35022	1.35021	1.35022	13	0	18
2025.09.01	02:38:00	1.35021	1.35025	1.35021	1.35024	21	0	18
2025.09.01	02:39:00	1.35024	1.35029	1.35024	1.35028	6	0	18
2025.09.01	02:40:00	1.35028	1.35031	1.35025	1.35026	14	0	18
2025.09.01	02:41:00	1.35025	1.35027	1.35023	1.35024	21	0	18
2025.09.01	02:42:00	1.35024	1.35026	1.35024	1.35026	5	0	18
2025.09.01	02:43:00	1.35027	1.35027	1.35014	1.35014	19	0	18
2025.09.01	02:44:00	1.35014	1.35014	1.35010	1.35014	6	0	18
2025.09.01	02:45:00	1.35014	1.35021	1.35014	1.35017	17	0	18
2025.09.01	02:46:00	1.35017	1.35019	1.35016	1.35018	22	0	18
2025.09.01	02:47:00	1.35018	1.35018	1.35011	1.35013	19	0	18
2025.09.01	02:48:00	1.35013	1.35015	1.35008	1.35014	17	0	18
2025.09.01	02:49:00	1.35013	1.35014	1.35003	1.35003	20	0	18
2025.09.01	02:50:00	1.35003	1.35007	1.34994	1.35006	17	0	18
2025.09.01	02:51:00	1.35007	1.35013	1.35004	1.35012	25	0	18
2025.09.01	02:52:00	1.35013	1.35022	1.35013	1.35019	19	0	18
2025.09.01	02:53:00	1.35019	1.35022	1.35017	1.35018	19	0	18
2025.09.01	02:54:00	1.35019	1.35024	1.35018	1.35022	10	0	18
2025.09.01	02:55:00	1.35022	1.35022	1.35017	1.35019	17	0	18
2025.09.01	02:56:00	1.35018	1.35028	1.35018	1.35027	17	0	18
2025.09.01	02:57:00	1.35027	1.35032	1.35026	1.35027	39	0	18
2025.09.01	02:58:00	1.35027	1.35027	1.35023	1.35024	23	0	18
2025.09.01	02:59:00	1.35024	1.35025	1.35023	1.35025	14	0	18
