<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	23.803	23.822	23.760	23.815	615	0	15
2024.01.02	02:00:00	23.811	23.921	23.791	23.803	1661	0	15
2024.01.02	03:00:00	23.798	23.876	23.762	23.868	1005	0	15
2024.01.02	04:00:00	23.873	23.950	23.853	23.923	825	0	15
2024.01.02	05:00:00	23.924	23.951	23.894	23.912	624	0	15
2024.01.02	06:00:00	23.915	24.045	23.915	24.029	985	0	15
2024.01.02	07:00:00	24.032	24.068	23.980	24.038	928	0	15
2024.01.02	08:00:00	24.038	24.084	23.983	23.983	1269	0	7
2024.01.02	09:00:00	23.987	24.037	23.947	24.020	1462	0	7
2024.01.02	10:00:00	24.020	24.091	24.020	24.044	1268	0	7
2024.01.02	11:00:00	24.044	24.062	23.967	24.052	1269	0	7
2024.01.02	12:00:00	24.052	24.071	23.895	23.930	1734	0	7
2024.01.02	13:00:00	23.930	23.930	23.838	23.874	1590	0	8
2024.01.02	14:00:00	23.875	23.995	23.787	23.907	2607	0	19
2024.01.02	15:00:00	23.911	23.979	23.799	23.979	3408	0	19
2024.01.02	16:00:00	23.979	24.005	23.688	23.713	3778	0	38
2024.01.02	17:00:00	23.713	23.887	23.708	23.793	2092	0	7
2024.01.02	18:00:00	23.798	23.823	23.688	23.694	1387	0	7
2024.01.02	19:00:00	23.695	23.726	23.631	23.638	1020	0	7
2024.01.02	20:00:00	23.637	23.677	23.630	23.639	677	0	7
2024.01.02	21:00:00	23.647	23.660	23.624	23.634	732	0	6
2024.01.02	22:00:00	23.639	23.660	23.623	23.629	502	0	9
2024.01.03	01:00:00	23.631	23.697	23.615	23.670	580	0	15
2024.01.03	02:00:00	23.670	23.702	23.624	23.638	1243	0	15
2024.01.03	03:00:00	23.638	23.696	23.627	23.689	849	0	15
2024.01.03	04:00:00	23.689	23.720	23.650	23.680	651	0	15
2024.01.03	05:00:00	23.677	23.697	23.658	23.667	499	0	15
2024.01.03	06:00:00	23.667	23.678	23.590	23.605	758	0	15
2024.01.03	07:00:00	23.606	23.666	23.591	23.630	996	0	15
2024.01.03	08:00:00	23.628	23.636	23.538	23.566	1307	0	7
2024.01.03	09:00:00	23.566	23.579	23.412	23.477	1613	0	7
2024.01.03	10:00:00	23.477	23.513	23.390	23.421	1500	0	7
2024.01.03	11:00:00	23.417	23.457	23.360	23.401	1157	0	7
2024.01.03	12:00:00	23.401	23.422	23.234	23.238	1411	0	8
2024.01.03	13:00:00	23.238	23.327	23.205	23.294	1800	0	7
2024.01.03	14:00:00	23.286	23.328	22.973	23.019	3717	0	19
2024.01.03	15:00:00	23.022	23.077	22.903	22.968	3987	0	19
2024.01.03	16:00:00	22.963	23.160	22.820	22.851	4064	0	19
2024.01.03	17:00:00	22.852	22.990	22.851	22.929	2160	0	7
2024.01.03	18:00:00	22.929	22.955	22.850	22.881	1321	0	7
2024.01.03	19:00:00	22.883	22.974	22.871	22.971	1055	0	7
2024.01.03	20:00:00	22.971	23.097	22.873	22.996	3032	0	20
2024.01.03	21:00:00	22.996	23.052	22.989	23.002	1712	0	7
2024.01.03	22:00:00	23.002	23.018	22.956	22.959	463	0	9
2024.01.04	01:00:00	23.002	23.012	22.956	22.968	516	0	15
2024.01.04	02:00:00	22.968	22.997	22.908	22.927	1342	0	15
2024.01.04	03:00:00	22.927	22.950	22.903	22.919	961	0	15
2024.01.04	04:00:00	22.917	23.002	22.907	22.949	669	0	15
2024.01.04	05:00:00	22.949	22.978	22.933	22.941	546	0	15
2024.01.04	06:00:00	22.940	23.006	22.929	22.996	754	0	13
2024.01.04	07:00:00	22.992	23.016	22.969	23.000	1158	0	15
2024.01.04	08:00:00	23.001	23.039	22.966	22.984	1078	0	7
2024.01.04	09:00:00	22.986	23.045	22.970	23.010	1292	0	7
2024.01.04	10:00:00	23.008	23.053	22.981	23.000	1183	0	7
2024.01.04	11:00:00	23.000	23.045	22.968	22.986	941	0	7
2024.01.04	12:00:00	22.995	23.015	22.942	22.947	970	0	7
2024.01.04	13:00:00	22.944	22.998	22.918	22.975	940	0	7
2024.01.04	14:00:00	22.962	23.028	22.891	22.891	2472	0	7
2024.01.04	15:00:00	22.891	22.896	22.670	22.727	2976	0	7
2024.01.04	16:00:00	22.729	22.985	22.727	22.962	2753	0	19
2024.01.04	17:00:00	22.962	23.022	22.939	22.974	1778	0	19
2024.01.04	18:00:00	22.973	23.000	22.936	22.978	1082	0	7
2024.01.04	19:00:00	22.978	23.011	22.945	22.996	1076	0	7
2024.01.04	20:00:00	22.996	23.035	22.965	23.005	678	0	7
2024.01.04	21:00:00	23.005	23.038	22.995	23.005	755	0	7
2024.01.04	22:00:00	23.005	23.030	22.976	22.981	359	0	9
2024.01.05	01:00:00	23.023	23.038	22.999	23.002	561	0	15
2024.01.05	02:00:00	23.002	23.168	22.997	23.119	1754	0	15
2024.01.05	03:00:00	23.119	23.179	23.108	23.113	815	0	15
2024.01.05	04:00:00	23.119	23.126	23.053	23.065	893	0	15
2024.01.05	05:00:00	23.065	23.152	23.048	23.108	585	0	15
2024.01.05	06:00:00	23.093	23.109	23.058	23.084	816	0	15
2024.01.05	07:00:00	23.084	23.106	22.980	23.012	1268	0	15
2024.01.05	08:00:00	23.012	23.123	23.001	23.031	1439	0	19
2024.01.05	09:00:00	23.032	23.055	22.991	23.003	1304	0	7
2024.01.05	10:00:00	23.003	23.036	22.937	22.952	1211	0	7
2024.01.05	11:00:00	22.952	22.996	22.922	22.976	1038	0	7
2024.01.05	12:00:00	22.977	23.001	22.946	22.965	1009	0	7
2024.01.05	13:00:00	22.965	23.027	22.951	22.996	1342	0	8
2024.01.05	14:00:00	22.996	23.110	22.756	23.040	5681	0	19
2024.01.05	15:00:00	23.037	23.126	22.956	23.096	5788	0	38
2024.01.05	16:00:00	23.098	23.498	23.098	23.272	6113	0	38
2024.01.05	17:00:00	23.272	23.343	23.194	23.218	2545	0	19
2024.01.05	18:00:00	23.218	23.246	23.123	23.138	2308	0	7
2024.01.05	19:00:00	23.137	23.248	23.094	23.244	1947	0	20
2024.01.05	20:00:00	23.248	23.283	23.155	23.177	1402	0	8
2024.01.05	21:00:00	23.177	23.186	23.139	23.160	1036	0	7
2024.01.05	22:00:00	23.161	23.176	23.137	23.161	384	0	9
2024.01.08	01:00:00	23.093	23.174	23.093	23.169	577	0	15
2024.01.08	02:00:00	23.166	23.203	23.103	23.114	1388	0	15
2024.01.08	03:00:00	23.112	23.122	23.046	23.053	966	0	15
2024.01.08	04:00:00	23.049	23.074	22.989	23.016	938	0	15
2024.01.08	05:00:00	23.031	23.043	22.999	23.009	670	0	15
2024.01.08	06:00:00	23.016	23.031	22.935	22.973	1185	0	15
2024.01.08	07:00:00	22.973	23.061	22.966	23.053	1108	0	15
2024.01.08	08:00:00	23.027	23.050	22.960	22.999	1210	0	7
2024.01.08	09:00:00	22.999	23.004	22.908	22.909	2025	0	9
2024.01.08	10:00:00	22.909	23.001	22.890	22.971	1410	0	7
2024.01.08	11:00:00	22.971	22.993	22.926	22.946	1266	0	7
2024.01.08	12:00:00	22.956	22.957	22.823	22.828	1520	0	7
2024.01.08	13:00:00	22.823	22.950	22.822	22.944	964	0	7
2024.01.08	14:00:00	22.944	22.962	22.840	22.878	2770	0	9
2024.01.08	15:00:00	22.874	23.075	22.873	23.055	3019	0	19
2024.01.08	16:00:00	23.055	23.159	23.041	23.141	2946	0	7
2024.01.08	17:00:00	23.146	23.190	23.120	23.156	1763	0	7
2024.01.08	18:00:00	23.157	23.183	23.099	23.108	1131	0	7
2024.01.08	19:00:00	23.113	23.124	23.062	23.067	996	0	7
2024.01.08	20:00:00	23.066	23.113	23.062	23.108	790	0	7
2024.01.08	21:00:00	23.105	23.121	23.035	23.070	827	0	7
2024.01.08	22:00:00	23.067	23.114	23.067	23.079	472	0	9
2024.01.09	01:00:00	23.114	23.155	23.100	23.132	667	0	15
2024.01.09	02:00:00	23.144	23.180	23.090	23.104	1208	0	15
2024.01.09	03:00:00	23.103	23.177	23.103	23.121	953	0	15
2024.01.09	04:00:00	23.120	23.172	23.119	23.136	651	0	15
2024.01.09	05:00:00	23.136	23.148	23.096	23.116	615	0	15
2024.01.09	06:00:00	23.129	23.134	23.062	23.086	780	0	15
2024.01.09	07:00:00	23.086	23.110	23.062	23.077	951	0	15
2024.01.09	08:00:00	23.079	23.183	23.067	23.180	1313	0	7
2024.01.09	09:00:00	23.180	23.358	23.116	23.133	1750	0	8
2024.01.09	10:00:00	23.132	23.200	23.088	23.147	1118	0	7
2024.01.09	11:00:00	23.161	23.202	23.095	23.105	1406	0	7
2024.01.09	12:00:00	23.105	23.128	23.068	23.109	1101	0	7
2024.01.09	13:00:00	23.105	23.166	23.087	23.150	1011	0	7
2024.01.09	14:00:00	23.151	23.238	23.060	23.165	2558	0	8
2024.01.09	15:00:00	23.170	23.220	23.060	23.079	3123	0	7
2024.01.09	16:00:00	23.080	23.095	22.925	22.950	2780	0	8
2024.01.09	17:00:00	22.950	23.034	22.918	22.989	2069	0	19
2024.01.09	18:00:00	22.989	22.990	22.886	22.890	1265	0	7
2024.01.09	19:00:00	22.891	22.945	22.877	22.926	1463	0	8
2024.01.09	20:00:00	22.928	22.952	22.891	22.918	886	0	7
2024.01.09	21:00:00	22.919	22.984	22.919	22.931	712	0	7
2024.01.09	22:00:00	22.931	22.971	22.928	22.945	481	0	9
2024.01.10	01:00:00	22.963	22.993	22.945	22.950	538	0	15
2024.01.10	02:00:00	22.948	23.020	22.916	23.006	1099	0	15
2024.01.10	03:00:00	23.006	23.030	22.958	22.973	836	0	15
2024.01.10	04:00:00	22.972	22.987	22.901	22.916	700	0	15
2024.01.10	05:00:00	22.916	22.949	22.906	22.926	589	0	15
2024.01.10	06:00:00	22.939	22.947	22.833	22.848	824	0	15
2024.01.10	07:00:00	22.853	22.865	22.800	22.836	981	0	12
2024.01.10	08:00:00	22.836	22.975	22.834	22.934	1383	0	7
2024.01.10	09:00:00	22.939	23.057	22.924	23.057	1824	0	7
2024.01.10	10:00:00	23.042	23.079	23.028	23.038	1097	0	7
2024.01.10	11:00:00	23.046	23.098	22.985	22.985	1022	0	7
