<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	21:00:00	2065.46	2065.46	2065.46	2065.46	1	0	94
2024.01.02	01:00:00	2063.66	2065.82	2062.30	2065.42	2098	0	13
2024.01.02	02:00:00	2065.35	2069.84	2064.82	2066.56	4381	0	13
2024.01.02	03:00:00	2066.56	2068.34	2063.97	2067.78	3066	0	7
2024.01.02	04:00:00	2067.80	2070.32	2066.47	2069.58	2213	0	13
2024.01.02	05:00:00	2069.60	2070.59	2068.88	2069.57	1704	0	13
2024.01.02	06:00:00	2069.58	2074.80	2069.48	2074.40	2717	0	13
2024.01.02	07:00:00	2074.46	2076.63	2072.90	2074.18	3132	0	13
2024.01.02	08:00:00	2074.19	2076.36	2073.10	2073.10	4064	0	12
2024.01.02	09:00:00	2073.32	2074.47	2071.79	2073.27	4706	0	0
2024.01.02	10:00:00	2073.28	2078.89	2073.22	2077.03	3675	0	12
2024.01.02	11:00:00	2077.03	2077.74	2073.48	2075.92	3449	0	12
2024.01.02	12:00:00	2075.88	2076.11	2068.28	2069.16	4783	0	2
2024.01.02	13:00:00	2069.08	2069.42	2065.01	2067.87	4560	0	0
2024.01.02	14:00:00	2067.86	2070.98	2064.82	2066.20	6617	0	12
2024.01.02	15:00:00	2066.21	2070.39	2062.14	2070.30	8329	0	12
2024.01.02	16:00:00	2070.31	2070.57	2055.89	2059.30	9072	0	5
2024.01.02	17:00:00	2059.30	2067.52	2059.13	2066.04	6416	0	8
2024.01.02	18:00:00	2066.11	2066.89	2061.77	2062.62	4178	0	12
2024.01.02	19:00:00	2062.70	2064.91	2060.54	2061.14	3099	0	0
2024.01.02	20:00:00	2061.16	2062.10	2060.43	2060.85	2203	0	12
2024.01.02	21:00:00	2060.89	2061.58	2057.96	2058.14	2498	0	12
2024.01.02	22:00:00	2058.44	2059.22	2058.00	2058.78	1167	0	12
2024.01.03	01:00:00	2059.59	2062.06	2059.22	2060.12	2171	0	13
2024.01.03	02:00:00	2060.13	2062.50	2059.50	2062.44	3789	0	13
2024.01.03	03:00:00	2062.48	2065.12	2061.54	2064.64	2653	0	13
2024.01.03	04:00:00	2064.64	2065.52	2063.28	2065.05	2164	0	13
2024.01.03	05:00:00	2065.04	2065.52	2064.38	2064.81	1279	0	13
2024.01.03	06:00:00	2064.79	2065.90	2063.44	2064.02	2099	0	15
2024.01.03	07:00:00	2064.04	2065.36	2063.35	2064.25	2439	0	13
2024.01.03	08:00:00	2064.24	2064.24	2060.82	2062.94	3642	0	12
2024.01.03	09:00:00	2062.92	2064.25	2058.86	2059.99	4133	0	12
2024.01.03	10:00:00	2060.00	2060.51	2054.22	2056.74	4091	0	3
2024.01.03	11:00:00	2056.75	2057.09	2052.58	2054.83	3633	0	12
2024.01.03	12:00:00	2054.83	2055.60	2046.71	2047.47	4190	0	0
2024.01.03	13:00:00	2047.54	2048.29	2041.79	2045.64	6402	0	8
2024.01.03	14:00:00	2045.64	2047.94	2038.66	2040.93	7952	0	12
2024.01.03	15:00:00	2040.95	2042.26	2031.75	2037.84	9263	0	0
2024.01.03	16:00:00	2037.64	2048.70	2031.84	2032.52	11409	0	0
2024.01.03	17:00:00	2032.54	2036.03	2031.26	2032.37	7895	0	12
2024.01.03	18:00:00	2032.46	2033.72	2030.60	2033.35	5253	0	12
2024.01.03	19:00:00	2033.35	2036.24	2032.91	2035.76	3658	0	12
2024.01.03	20:00:00	2035.79	2042.26	2030.56	2036.60	8466	0	13
2024.01.03	21:00:00	2036.62	2042.26	2036.46	2040.93	4926	0	15
2024.01.03	22:00:00	2041.09	2041.72	2040.27	2041.21	1204	0	14
2024.01.04	01:00:00	2042.89	2043.12	2041.55	2042.12	2135	0	14
2024.01.04	02:00:00	2042.14	2043.22	2040.08	2042.19	3900	0	13
2024.01.04	03:00:00	2042.18	2044.65	2042.18	2044.46	3840	0	13
2024.01.04	04:00:00	2044.54	2046.82	2044.04	2044.58	2606	0	13
2024.01.04	05:00:00	2044.50	2044.60	2042.38	2043.04	2213	0	13
2024.01.04	06:00:00	2043.03	2044.28	2042.38	2043.72	2761	0	15
2024.01.04	07:00:00	2043.73	2048.61	2043.60	2047.21	3898	0	14
2024.01.04	08:00:00	2047.22	2049.50	2046.50	2047.59	5215	0	12
2024.01.04	09:00:00	2047.65	2048.58	2045.38	2046.74	7241	0	12
2024.01.04	10:00:00	2046.71	2050.87	2046.24	2047.95	6033	0	9
2024.01.04	11:00:00	2047.96	2050.76	2046.61	2047.92	4962	0	12
2024.01.04	12:00:00	2047.93	2048.37	2044.92	2045.12	5239	0	12
2024.01.04	13:00:00	2045.14	2046.18	2043.31	2045.95	4879	0	12
2024.01.04	14:00:00	2046.06	2047.21	2038.85	2040.20	9272	0	0
2024.01.04	15:00:00	2040.20	2042.55	2036.19	2039.31	9928	0	12
2024.01.04	16:00:00	2039.31	2047.62	2039.09	2045.10	10544	0	0
2024.01.04	17:00:00	2045.10	2046.72	2044.06	2044.69	8420	0	12
2024.01.04	18:00:00	2044.70	2045.03	2040.83	2043.25	6678	0	12
2024.01.04	19:00:00	2043.26	2044.06	2041.55	2043.16	5407	0	12
2024.01.04	20:00:00	2043.11	2044.86	2042.34	2044.34	3953	0	12
2024.01.04	21:00:00	2044.34	2044.78	2043.02	2043.02	3495	0	12
2024.01.04	22:00:00	2043.39	2044.32	2043.04	2043.20	958	0	12
2024.01.05	01:00:00	2044.12	2044.64	2043.25	2044.28	1920	0	13
2024.01.05	02:00:00	2044.30	2048.20	2044.02	2046.10	4694	0	14
2024.01.05	03:00:00	2046.10	2047.82	2045.64	2046.14	2677	0	13
2024.01.05	04:00:00	2046.14	2046.38	2044.74	2045.27	2539	0	15
2024.01.05	05:00:00	2045.28	2046.33	2044.42	2044.58	1713	0	14
2024.01.05	06:00:00	2044.58	2045.15	2043.08	2044.40	2376	0	13
2024.01.05	07:00:00	2044.40	2045.06	2040.85	2042.44	3251	0	14
2024.01.05	08:00:00	2042.37	2046.94	2042.02	2043.15	4670	0	12
