Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,EntryZScore,StopLossPercent
35,0.21,-0.42,-0.02625,0.94994,-0.12353,-1.93381,0,0.02,16,3.1,0
56,35.86,-3.64,-0.04550,0.89115,-0.31434,-5.00000,0,0.08,80,2,0
3,37.17,-4.62,-0.03348,0.92146,-0.32083,-4.52423,0,0.10,138,1.6,0
72,33.31,-16.14,-0.12810,0.75605,-0.72966,-5.00000,0,0.15,126,1.7,0
34,0.44,-102.38,-5.11900,0.80596,-0.56154,-2.02370,0,1.21,20,0.5,0.2
53,0.12,-114.04,-9.50333,0.68960,-0.67816,-1.63644,0,1.12,12,3.1,0.2
57,0.26,-180.77,-11.29813,0.86012,-0.39451,-1.39462,0,3.01,16,2.8,0.6
50,0.26,-256.97,-16.06063,0.85168,-0.41763,-1.48585,0,4.02,16,2.8,0.8
19,0.08,-322.92,-32.29200,0.35929,-0.91272,-2.54066,0,2.35,10,3.2,0.3
40,0.22,-330.73,-23.62357,0.83093,-0.43869,-1.05454,0,4.89,14,2.9,1
55,0.15,-346.85,-28.90417,0.60895,-0.86574,-1.83801,0,2.66,12,3,0.5
36,0.08,-430.34,-43.03400,0.35480,-0.91135,-2.56700,0,3.14,10,3.1,0.4
67,0.08,-441.53,-44.15300,0.44673,-0.85787,-1.95185,0,3.42,10,3.3,0.5
4,0.02,-451.22,-225.61000,0.52426,-0.82741,-0.17916,0,3.62,2,3.5,2
24,0.15,-486.93,-40.57750,0.61023,-0.86755,-1.81290,0,3.73,12,3,0.7
64,0.21,-560.70,-40.05000,0.82116,-0.46347,-1.12438,0,7.75,14,2.9,1.6
26,0.31,-616.03,-34.22389,0.79556,-0.50830,-2.46705,0,7.81,18,2.7,1.3
9,0.44,-655.44,-32.77200,0.73894,-0.71168,-3.58388,0,6.06,20,2.6,1
28,0.94,-699.34,-29.13917,0.71382,-0.71674,-4.23364,0,6.40,24,1,0.7
54,0.94,-714.69,-29.77875,0.71148,-0.73177,-4.28714,0,6.41,24,0.4,0.7
11,0.26,-753.25,-47.07813,0.84130,-0.44129,-1.63463,0,10.79,16,2.8,2.2
52,0.20,-843.31,-52.70688,0.60956,-0.91084,-2.73455,0,6.16,16,2.2,1
45,0.21,-848.39,-60.59929,0.81939,-0.46354,-1.16215,0,11.48,14,2.9,2.4
77,0.26,-857.36,-53.58500,0.84060,-0.44263,-1.64410,0,12.16,16,2.8,2.5
69,0.08,-865.44,-86.54400,0.35507,-0.91224,-2.57560,0,6.30,10,3.2,0.8
74,0.43,-876.52,-43.82600,0.77312,-0.64514,-2.73817,0,8.81,20,0.5,1.3
5,0.31,-890.74,-49.48556,0.78599,-0.53017,-2.63351,0,10.71,18,2.7,1.8
39,0.43,-916.55,-45.82750,0.77630,-0.62603,-2.69486,0,9.45,20,1.1,1.4
12,0.43,-943.35,-47.16750,0.77324,-0.64376,-2.74239,0,9.48,20,0.8,1.4
20,0.46,-990.80,-49.54000,0.62672,-0.80904,-4.66761,0,8.06,20,1.7,0.9
13,0.43,-1031.32,-51.56600,0.76758,-0.64980,-2.83231,0,10.25,20,0.5,1.5
73,0.43,-1162.27,-58.11350,0.76861,-0.64687,-2.82217,0,11.55,20,0,1.7
33,0.42,-1260.01,-63.00050,0.77303,-0.62973,-2.75772,0,12.78,20,1.1,1.9
14,0.42,-1260.01,-63.00050,0.77303,-0.62973,-2.75772,0,12.78,20,1.2,1.9
76,0.41,-1373.10,-68.65500,0.76721,-0.64939,-2.85575,0,13.50,20,0.7,2
32,0.38,-1575.53,-78.77650,0.77416,-0.62749,-2.75878,0,15.86,20,1.2,2.4
21,0.08,-1711.34,-171.13400,0.44520,-0.85652,-1.95388,0,13.17,10,3.3,2
47,0.28,-1727.15,-95.95278,0.65110,-0.76145,-3.22534,0,14.70,18,2,2
60,0.31,-1893.96,-94.69800,0.77001,-0.64669,-2.83947,0,18.39,20,0.3,2.8
29,0.31,-1893.96,-94.69800,0.77001,-0.64669,-2.83947,0,18.39,20,0.5,2.8
17,0.41,-1965.84,-98.29200,0.62017,-0.81100,-4.77854,0,15.75,20,1.4,1.8
18,0.29,-1980.47,-99.02350,0.76809,-0.64955,-2.86883,0,19.11,20,0,2.9
63,0.18,-1986.98,-124.18625,0.60478,-0.91597,-2.76398,0,14.41,16,2.3,2.4
61,0.37,-2007.24,-100.36200,0.57188,-0.80611,-4.81859,0,16.18,20,1.9,1.8
41,0.27,-2024.59,-101.22950,0.76997,-0.64698,-2.84393,0,19.58,20,0.8,3
44,0.40,-2039.50,-101.97500,0.62600,-0.80803,-4.67081,0,16.38,20,1.4,1.9
23,0.40,-2039.50,-101.97500,0.62600,-0.80803,-4.67081,0,16.38,20,1.7,1.9
75,0.18,-2059.72,-128.73250,0.60096,-0.91517,-2.78465,0,14.95,16,2.2,2.5
27,0.20,-2209.76,-122.76444,0.64422,-0.75939,-3.26410,0,18.70,18,2,2.6
49,0.17,-2243.72,-140.23250,0.60116,-0.91678,-2.81219,0,16.25,16,2.3,2.7
51,0.33,-2364.51,-118.22550,0.62209,-0.80853,-4.73495,0,18.90,20,1.4,2.2
70,0.33,-2364.51,-118.22550,0.62209,-0.80853,-4.73495,0,18.90,20,1.5,2.2
68,0.25,-2547.33,-127.36650,0.62115,-0.80735,-4.71531,0,20.33,20,1.7,2.4
10,0.19,-2739.72,-136.98600,0.56590,-0.80482,-4.89223,0,21.91,20,2.1,2.5
6,0.04,-3049.08,-304.90800,0.35519,-0.90723,-2.60309,0,22.02,10,3.2,3
46,0.04,-3049.08,-304.90800,0.35519,-0.90723,-2.60309,0,22.02,10,3.1,3
78,0,0.00,0,,0,0,0,0.00,0,4.8,2.9
2,0,0.00,0,,0,0,0,0.00,0,3.7,2.3
16,0,0.00,0,,0,0,0,0.00,0,4.4,0.5
22,0,0.00,0,,0,0,0,0.00,0,4.4,0.3
25,0,0.00,0,,0,0,0,0.00,0,4.7,1.3
31,0,0.00,0,,0,0,0,0.00,0,4.4,2.1
37,0,0.00,0,,0,0,0,0.00,0,3.8,0
8,0,0.00,0,,0,0,0,0.00,0,3.9,2.9
15,0,0.00,0,,0,0,0,0.00,0,4.6,1
59,0,0.00,0,,0,0,0,0.00,0,3.8,0.2
7,0,0.00,0,,0,0,0,0.00,0,4.5,0.7
58,0,0.00,0,,0,0,0,0.00,0,3.8,1.2
65,0,0.00,0,,0,0,0,0.00,0,4.2,0.7
71,0,0.00,0,,0,0,0,0.00,0,4.1,1
0,0,0.00,0,,0,0,0,0.00,0,4.5,1
62,0,0.00,0,,0,0,0,0.00,0,4.8,1.9
66,0,0.00,0,,0,0,0,0.00,0,4.1,2.8
42,0,0.00,0,,0,0,0,0.00,0,4.9,2
30,0,0.00,0,,0,0,0,0.00,0,4.3,0.8
38,0,0.00,0,,0,0,0,0.00,0,5,0.2
43,0,0.00,0,,0,0,0,0.00,0,4.5,0.2
48,0,0.00,0,,0,0,0,0.00,0,5,2.6
1,0,0.00,0,,0,0,0,0.00,0,4.3,1.6
