Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,EntryZScore,StopLossPercent
64,1.84,974.69,37.48808,1.11868,0.43002,1.29430,0,12.77,26,0.3,3
86,1.86,943.90,36.30385,1.11930,0.43279,1.30134,0,12.36,26,0.1,2.9
126,2.31,826.75,31.79808,1.15358,0.59673,1.64998,0,8.20,26,0,2
49,1.80,698.06,26.84846,1.10934,0.39511,1.18377,0,10.34,26,0.1,2.4
122,2.12,658.44,25.32462,1.14436,0.56571,1.55986,0,7.03,26,0.2,1.7
20,3.70,643.67,21.45567,1.08398,0.31358,1.20957,0,13.12,30,1.3,2
101,2.57,593.03,21.17964,1.07830,0.33010,0.90870,0,10.58,28,0.7,2.6
65,2.57,593.03,21.17964,1.07830,0.33010,0.90870,0,10.58,28,0.4,2.6
71,2.57,593.03,21.17964,1.07830,0.33010,0.90870,0,10.58,28,0.9,2.6
87,2.42,549.30,19.61786,1.06313,0.24887,0.73070,0,12.77,28,0.4,3
43,2.42,549.30,19.61786,1.06313,0.24887,0.73070,0,12.77,28,0.6,3
110,2.47,547.91,19.56821,1.06773,0.26603,0.77894,0,12.00,28,0.6,2.8
97,2.48,525.69,18.77464,1.06760,0.26668,0.77791,0,11.54,28,0.6,2.7
70,2.50,453.53,16.19750,1.06604,0.27674,0.76502,0,9.81,28,0.8,2.4
131,2.47,326.83,11.67250,1.06181,0.24105,0.69684,0,8.28,28,0.8,1.9
11,1.90,298.22,12.42583,1.26160,0.86341,2.38604,0,2.22,24,0.1,0.5
32,2.84,290.12,11.15846,1.19401,0.71337,1.93354,0,2.61,26,0.5,0.6
98,2.84,290.12,11.15846,1.19401,0.71337,1.93354,0,2.61,26,0.4,0.6
31,2.38,275.53,9.84036,1.04196,0.16720,0.48142,0,9.95,28,0.4,2.3
104,2.79,233.62,8.98539,1.19050,0.67638,1.86849,0,2.23,26,0.5,0.5
74,2.79,233.62,8.98539,1.19050,0.67638,1.86849,0,2.23,26,0.8,0.5
89,2.94,193.89,6.92464,1.07028,0.27974,0.78135,0,4.41,28,0.9,1
