Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,EntryZScore,StopLossPercent
81,1.70,2220.66,100.93909,1.36075,1.19721,2.51289,0,10.97,22,0.8,3
108,1.70,2156.97,98.04409,1.36285,1.20424,2.53021,0,10.63,22,0.5,2.9
119,1.71,2081.95,94.63409,1.36318,1.20909,2.53120,0,10.26,22,1,2.8
41,1.72,1943.15,88.32500,1.36690,1.22059,2.55572,0,9.56,22,0.8,2.6
54,3.49,1932.58,74.33000,1.30077,0.76365,2.41679,0,13.68,26,1.2,2.7
59,1.72,1871.28,85.05818,1.36796,1.22599,2.56359,0,9.20,22,0.5,2.5
134,1.73,1726.47,78.47591,1.36944,1.23336,2.58100,0,8.50,22,0,2.3
33,1.73,1643.17,74.68955,1.36906,1.23142,2.58244,0,8.14,22,0.9,2.2
32,1.73,1643.17,74.68955,1.36906,1.23142,2.58244,0,8.14,22,0.3,2.2
111,1.74,1608.16,67.00667,1.32399,0.47561,2.27747,0,19.84,24,2.4,3
93,1.22,1596.35,72.56136,1.42105,0.44878,1.75001,0,22.56,22,1.9,2.7
113,3.59,1531.01,58.88500,1.31351,0.80718,2.48881,0,10.73,26,1.2,2.1
136,1.88,1457.49,60.72875,1.32638,0.48095,2.30032,0,18.01,24,2.4,2.7
55,5.82,1360.52,48.59000,1.45338,1.20908,3.13165,0,7.19,28,1.5,1.4
104,2.56,1301.67,50.06423,1.24859,0.45115,1.42041,0,18.38,26,1.7,2.9
116,1.74,1278.41,58.10955,1.37477,1.25747,2.62529,0,6.33,22,0.1,1.7
79,1.74,1278.41,58.10955,1.37477,1.25747,2.62529,0,6.33,22,0.6,1.7
63,1.74,1278.41,58.10955,1.37477,1.25747,2.62529,0,6.33,22,1,1.7
46,5.82,1261.33,45.04750,1.45368,1.20909,3.13580,0,6.68,28,1.7,1.3
84,3.62,1241.47,47.74885,1.31829,0.82568,2.51098,0,8.77,26,1.2,1.7
67,2.67,1217.68,46.83385,1.24791,0.45042,1.42693,0,17.28,26,1.5,2.7
130,1.74,1200.25,54.55682,1.37375,1.25134,2.62425,0,5.99,22,0,1.6
131,1.75,1127.47,51.24864,1.37489,1.26292,2.62841,0,5.60,22,0,1.5
114,3.55,1117.34,42.97462,1.48825,0.75653,3.56133,0,9.08,26,2.3,1.3
94,1.57,1034.10,47.00455,1.42325,0.45183,1.82668,0,14.78,22,1.9,1.7
77,1.76,993.14,45.14273,1.38399,1.28845,2.68823,0,4.87,22,0.5,1.3
129,4.54,988.08,35.28857,1.28713,0.57611,2.84063,0,10.42,28,2.3,1.5
19,1.75,899.06,40.86636,1.37738,1.27639,2.67545,0,4.47,22,0.7,1.2
61,3.65,880.52,33.86615,1.32640,0.86103,2.55360,0,6.20,26,1.2,1.2
48,0.69,872.16,43.60800,1.18907,0.29552,2.76794,0,18.53,20,2.6,2.8
106,3.02,869.16,33.42923,1.26271,0.48368,1.54496,0,11.65,26,1.6,1.8
26,0.73,819.92,40.99600,1.19095,0.29878,2.80693,0,17.30,20,2.6,2.6
105,3.68,747.76,28.76000,1.33698,0.88702,2.61413,0,5.19,26,1.2,1
20,1.76,746.87,33.94864,1.37804,1.27701,2.69150,0,3.74,22,0.9,1
14,1.76,746.87,33.94864,1.37804,1.27701,2.69150,0,3.74,22,0.8,1
97,0.78,717.46,35.87300,1.19656,0.30803,2.90682,0,14.81,20,2.6,2.2
39,1.18,712.84,29.70167,1.13530,0.19018,1.70671,0,23.24,24,2.5,2.6
15,0.84,650.06,36.11444,1.52410,1.19915,2.01706,0,3.57,18,1.7,0.8
88,3.70,598.07,23.00269,1.34068,0.91108,2.64184,0,4.11,26,1.2,0.8
25,1.76,593.28,26.96727,1.37884,1.28185,2.70171,0,2.99,22,0.9,0.8
73,0.82,541.98,27.09900,1.20321,0.31934,3.03557,0,10.93,20,2.6,1.6
112,1.78,530.04,24.09273,1.38972,1.31615,2.78148,0,2.61,22,0.7,0.7
8,2.18,512.10,21.33750,1.34992,0.52017,2.48733,0,6.31,24,2.4,0.9
64,0.72,464.09,21.09500,1.09791,0.15596,0.58889,0,18.76,22,2.2,2.8
35,0.80,433.39,19.69955,1.10212,0.16255,0.61661,0,16.91,22,2.2,2.5
95,0.90,366.29,16.64955,1.11263,0.17961,0.68582,0,13.08,22,2.2,1.9
27,1.10,358.04,17.90200,1.41791,1.06354,1.67946,0,2.23,20,1.4,0.6
91,0.94,260.13,11.82409,1.12588,0.20134,0.77334,0,8.40,22,2.2,1.2
29,0.36,254.65,18.18929,1.73703,1.18140,1.16154,0,1.43,14,0.5,0.4
22,0.95,245.99,11.18136,1.13027,0.20849,0.80004,0,7.69,22,2.2,1.1
18,0.81,234.58,11.72900,1.21479,0.21518,0.87249,0,7.16,20,1.9,0.8
71,1.15,185.15,9.25750,1.44603,1.09686,1.79929,0,1.12,20,1.3,0.3
70,0.21,95.89,6.84929,1.42465,0.90012,1.10703,0,0.71,14,0,0.2
37,0.70,88.12,4.40600,1.22248,0.66748,1.51571,0,0.88,20,1.7,0.2
98,2.04,76.35,3.18125,1.18766,0.26763,2.44092,0,1.89,24,2.5,0.2
13,0.83,73.05,4.05833,1.50289,1.12593,2.00859,0,0.43,18,1.5,0.1
50,0.03,46.28,23.14000,2.27353,0.17227,0.11874,0,1.75,2,3.6,1.9
87,0.03,36.59,18.29500,2.27270,0.17221,0.11853,0,1.39,2,3.6,1.5
82,1.08,30.42,1.26750,1.01988,0.03225,0.17269,0,6.07,24,2.4,0.8
128,1.08,13.12,0.54667,1.01729,0.02796,0.15069,0,3.08,24,2.4,0.4
17,41.79,1.47,0.02940,1.05731,0.31144,4.92117,0,0.03,50,2.2,0
30,34.65,0.53,0.00680,1.01504,0.08154,1.17811,0,0.04,78,1.9,0
38,0.09,-1.87,-0.15583,0.81263,-0.56156,-5.00000,0,0.02,12,2.9,0
10,28.56,-6.18,-0.04984,0.89484,-0.66595,-5.00000,0,0.06,124,1.5,0
58,2.29,-14.41,-0.55423,0.99472,-0.01491,-0.04988,0,6.16,26,1.1,1.1
44,2.29,-18.70,-0.71923,0.99245,-0.02130,-0.07144,0,5.62,26,1.1,1
65,28.46,-26.12,-0.07098,0.83250,-0.90915,-5.00000,0,0.19,368,0.6,0
133,29.55,-30.77,-0.06357,0.84335,-0.93158,-5.00000,0,0.22,484,0,0
78,2.27,-74.37,-2.86039,0.98357,-0.04578,-0.15546,0,10.07,26,1.1,1.8
118,0.70,-84.41,-3.83682,0.85856,-0.24437,-1.06407,0,2.29,22,2.2,0.3
2,0.04,-158.27,-26.37833,0.52570,-0.90399,-1.62996,0,1.17,6,3.3,0.3
21,1.47,-244.10,-10.17083,0.89770,-0.25686,-0.74071,0,6.21,24,1.3,1.2
34,0.96,-298.24,-12.42667,0.77978,-0.31549,-2.24263,0,6.23,24,2.1,0.6
127,0.05,-332.85,-41.60625,0.47724,-0.90045,-2.24048,0,2.46,8,3.2,0.5
100,0.04,-357.62,-59.60333,0.53962,-0.88841,-1.51540,0,2.68,6,3.3,0.7
86,1.93,-382.98,-14.73000,0.87702,-0.15337,-0.87890,0,16.26,26,1.8,1.5
12,0.04,-456.64,-76.10667,0.54206,-0.88318,-1.51197,0,3.44,6,3.3,0.9
47,0.14,-462.67,-33.04786,0.60042,-0.64432,-3.94694,0,4.72,14,2.8,0.7
42,1.76,-475.68,-18.29539,0.86420,-0.16887,-0.96175,0,18.28,26,1.8,1.7
122,1.66,-489.87,-18.84115,0.86699,-0.16515,-0.93496,0,19.22,26,1.8,1.8
1,0.20,-592.33,-37.02063,0.47643,-0.69872,-5.00000,0,5.57,16,2.7,0.7
109,0.93,-615.79,-25.65792,0.76758,-0.33034,-2.31926,0,12.15,24,2.1,1.2
110,0.04,-656.38,-109.39667,0.54405,-0.88255,-1.50618,0,4.95,6,3.5,1.3
123,0.09,-699.23,-58.26917,0.64270,-0.57173,-2.77545,0,7.91,12,3,1.4
125,0.08,-725.40,-72.54000,0.72929,-0.50086,-1.57205,0,9.26,10,3.1,1.9
6,0.04,-763.73,-127.28833,0.54158,-0.88592,-1.51903,0,5.73,6,3.5,1.5
52,0.56,-765.02,-34.77364,0.78494,-0.23975,-1.36513,0,20.46,22,2.1,2.1
4,0.05,-795.63,-99.45375,0.48072,-0.89824,-2.23435,0,5.89,8,3.2,1.2
80,0.04,-803.43,-133.90500,0.54456,-0.88108,-1.50563,0,6.06,6,3.5,1.6
43,0.04,-855.27,-142.54500,0.54438,-0.88254,-1.50725,0,6.44,6,3.5,1.7
117,0.13,-990.81,-70.77214,0.60172,-0.64391,-3.99441,0,9.93,14,2.8,1.5
3,0.04,-1054.47,-175.74500,0.54441,-0.88291,-1.51047,0,7.93,6,3.5,2.1
124,0.08,-1080.73,-108.07300,0.72786,-0.50444,-1.60741,0,13.44,10,3.1,2.8
76,0.04,-1160.10,-193.35000,0.54344,-0.88494,-1.51613,0,8.70,6,3.4,2.3
36,0.19,-1182.52,-73.90750,0.47596,-0.69805,-5.00000,0,10.96,16,2.7,1.4
7,0.05,-1190.59,-148.82375,0.48091,-0.90057,-2.24287,0,8.78,8,3.2,1.8
24,0.04,-1254.21,-209.03500,0.54424,-0.88337,-1.51513,0,9.42,6,3.4,2.5
126,0.05,-1514.45,-189.30625,0.48166,-0.90141,-2.24961,0,11.15,8,3.2,2.3
135,0.05,-1568.53,-196.06625,0.48314,-0.89913,-2.24073,0,11.57,8,3.2,2.4
120,0.18,-1599.93,-99.99563,0.47414,-0.69814,-5.00000,0,14.67,16,2.7,1.9
68,0.05,-1636.31,-204.53875,0.48264,-0.89998,-2.24577,0,12.06,8,3.2,2.5
5,0.05,-1819.73,-227.46625,0.48383,-0.89948,-2.24489,0,13.41,8,3.2,2.8
51,0,0.00,0,,0,0,0,0.00,0,4.2,2.5
57,0,0.00,0,,0,0,0,0.00,0,4.5,0.4
60,0,0.00,0,,0,0,0,0.00,0,4.1,0
28,0,0.00,0,,0,0,0,0.00,0,3.7,1.7
66,0,0.00,0,,0,0,0,0.00,0,4,2.1
72,0,0.00,0,,0,0,0,0.00,0,4.2,2.6
103,0,0.00,0,,0,0,0,0.00,0,3.8,1.8
107,0,0.00,0,,0,0,0,0.00,0,4.9,1.9
11,0,0.00,0,,0,0,0,0.00,0,5,2.1
83,0,0.00,0,,0,0,0,0.00,0,4.9,1.4
90,0,0.00,0,,0,0,0,0.00,0,4.7,0.7
96,0,0.00,0,,0,0,0,0.00,0,3.7,1.3
49,0,0.00,0,,0,0,0,0.00,0,3.9,2.3
56,0,0.00,0,,0,0,0,0.00,0,4.6,2.5
121,0,0.00,0,,0,0,0,0.00,0,3.9,0.8
0,0,0.00,0,,0,0,0,0.00,0,4,0.7
45,0,0.00,0,,0,0,0,0.00,0,4.8,2.5
53,0,0.00,0,,0,0,0,0.00,0,4.4,1.2
89,0,0.00,0,,0,0,0,0.00,0,4.6,0.2
23,0,0.00,0,,0,0,0,0.00,0,4.4,2.5
31,0,0.00,0,,0,0,0,0.00,0,4.5,2.5
16,0,0.00,0,,0,0,0,0.00,0,3.7,2.3
69,0,0.00,0,,0,0,0,0.00,0,4.3,1.5
101,0,0.00,0,,0,0,0,0.00,0,4.5,1.1
74,0,0.00,0,,0,0,0,0.00,0,4.5,1.3
85,0,0.00,0,,0,0,0,0.00,0,4.1,1.3
92,0,0.00,0,,0,0,0,0.00,0,4.9,1.2
99,0,0.00,0,,0,0,0,0.00,0,4.3,1.9
40,0,0.00,0,,0,0,0,0.00,0,4.3,2.1
9,0,0.00,0,,0,0,0,0.00,0,4.1,0.3
62,0,0.00,0,,0,0,0,0.00,0,4.5,2.2
75,0,0.00,0,,0,0,0,0.00,0,4.2,2.4
102,0,0.00,0,,0,0,0,0.00,0,3.7,1.5
115,0,0.00,0,,0,0,0,0.00,0,5,0.1
132,0,0.00,0,,0,0,0,0.00,0,4.8,0.4
