Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,EntryZScore,StopLossPercent
73,0.74,3496.22,218.51375,2.06413,3.34135,2.96683,0,5.60,16,1.2,2.5
89,5.76,3220.91,115.03250,1.57473,1.86129,4.05964,0,9.34,28,1.4,2.4
191,0.74,3024.02,189.00125,2.05413,3.35629,2.95861,0,4.95,16,1.2,2.2
244,0.74,3005.09,187.81813,2.03022,3.36833,2.94253,0,4.91,16,1.1,2.2
121,4.04,2881.85,110.84039,1.62035,1.85009,3.98007,0,8.58,26,1.5,2.2
133,0.87,2681.30,148.96111,1.60288,1.97993,2.46633,0,8.50,18,1.5,2.8
173,0.87,2602.28,144.57111,1.60964,2.00834,2.48805,0,8.15,18,1.5,2.7
51,6.32,2573.70,85.79000,1.38662,1.32958,2.74984,0,10.80,30,1,2.8
269,5.16,2544.12,90.86143,1.50022,1.59212,3.49679,0,8.96,28,1.1,2.3
8,1.03,2527.96,140.44222,1.99105,3.84487,3.81495,0,3.64,18,1.8,1.7
166,0.90,2347.05,130.39167,1.61691,2.11937,2.51519,0,7.01,18,1.7,2.4
70,2.86,2305.36,88.66769,1.36147,1.13013,2.43152,0,11.54,26,1.5,3
172,1.03,2218.92,123.27333,2.00021,3.88494,3.82495,0,3.23,18,1.8,1.5
259,6.91,2120.48,70.68267,1.46189,1.40806,2.97736,0,8.73,30,1,2
180,0.88,2024.02,112.44556,1.62075,2.01443,2.52878,0,6.40,18,1.7,2.1
28,0.75,1895.38,118.46125,2.07815,3.54396,3.01269,0,3.15,16,1.2,1.4
165,0.90,1851.29,102.84944,1.62315,2.11298,2.53599,0,5.61,18,1.7,1.9
164,0.90,1851.29,102.84944,1.62315,2.11298,2.53599,0,5.61,18,1.5,1.9
139,0.90,1756.76,97.59778,1.62721,2.12333,2.55094,0,5.30,18,1.6,1.8
80,0.75,1748.57,109.28563,2.05526,3.51768,3.00033,0,2.95,16,1.1,1.3
208,6.56,1682.53,56.08433,1.40413,1.40745,2.85897,0,7.08,30,1,1.8
27,5.31,1653.12,59.04000,1.51397,1.65901,3.56551,0,5.93,28,1.1,1.5
283,0.90,1652.00,91.77778,1.62433,2.10382,2.53871,0,5.05,18,1.6,1.7
71,1.03,1612.38,89.57667,2.01570,4.00412,3.78134,0,2.38,18,1.6,1.1
117,0.50,1524.35,108.88214,2.35137,4.06472,2.52685,0,2.26,14,1.4,1
132,0.91,1463.20,81.28889,1.63067,2.13105,2.56668,0,4.43,18,1.5,1.5
120,7.15,1394.56,46.48533,1.48711,1.47264,3.07982,0,5.75,30,1.2,1.3
190,0.90,1356.38,75.35444,1.62979,2.12090,2.56425,0,4.14,18,1.6,1.4
138,0.90,1356.38,75.35444,1.62979,2.12090,2.56425,0,4.14,18,1.6,1.4
101,2.17,1245.37,47.89885,1.22091,0.52827,1.49281,0,13.20,26,0,2.5
67,0.11,1171.66,146.45750,2.04318,1.92669,0.39126,0,3.69,8,0.7,2.8
123,0.11,1171.66,146.45750,2.04318,1.92669,0.39126,0,3.69,8,0.6,2.8
210,2.35,1141.86,43.91769,1.24632,0.58417,1.64405,0,11.19,26,0.6,2.1
266,0.11,1138.33,142.29125,2.04081,1.96115,0.39652,0,3.53,8,0.7,2.7
223,0.11,1138.33,142.29125,2.04081,1.96115,0.39652,0,3.53,8,0.6,2.7
69,0.09,1131.78,141.47250,1.88755,1.41987,0.36544,0,5.26,8,0.3,2.9
118,0.09,1093.23,136.65375,1.89227,1.42329,0.36641,0,5.07,8,0.3,2.8
286,0.10,1048.13,131.01625,1.90389,1.48555,0.36057,0,4.67,8,0,2.7
143,0.10,1048.13,131.01625,1.90389,1.48555,0.36057,0,4.67,8,0,2.7
21,0.89,1044.11,58.00611,1.62672,2.01235,2.56238,0,3.38,18,1.7,1.1
93,0.11,1015.85,126.98125,2.05337,1.98649,0.39904,0,3.14,8,0.4,2.4
68,5.67,988.79,35.31393,1.60529,1.71725,3.52484,0,3.59,28,1.4,0.8
72,0.11,970.88,121.36000,2.05203,2.00620,0.40160,0,3.22,8,0.4,2.3
130,0.11,970.88,121.36000,2.05203,2.00620,0.40160,0,3.22,8,0.7,2.3
242,0.88,946.65,52.59167,1.62826,1.99282,2.56378,0,3.10,18,1.7,1
83,0.88,946.65,52.59167,1.62826,1.99282,2.56378,0,3.10,18,1.7,1
272,0.10,944.84,118.10500,1.92122,1.50130,0.36601,0,4.17,8,0,2.4
161,0.11,921.34,115.16750,2.04100,1.98860,0.39945,0,3.08,8,0.8,2.2
278,0.10,908.39,113.54875,1.92246,1.51177,0.37020,0,3.98,8,0,2.3
224,0.09,902.67,112.83375,1.89335,1.42256,0.36952,0,4.20,8,0.3,2.3
16,7.31,861.49,28.71633,1.50310,1.51596,3.14251,0,3.58,30,1.2,0.8
213,7.26,857.38,28.57933,1.49599,1.50873,3.12336,0,3.58,30,1.1,0.8
15,0.11,808.55,101.06875,2.06582,1.95001,0.39591,0,2.59,8,0.9,1.9
188,0.11,796.94,99.61750,2.05068,1.98377,0.39771,0,2.67,8,0.6,1.9
267,0.11,766.38,95.79750,2.05523,2.02864,0.40394,0,2.37,8,0.4,1.8
31,0.90,763.00,42.38889,1.64267,2.04558,2.61389,0,2.44,18,1.7,0.8
104,0.10,747.87,93.48375,1.92674,1.50811,0.36808,0,3.29,8,0,1.9
