Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,EntryZScore,StopLossPercent
119,0.20,2158.96,215.89600,1.66545,3.51496,2.58323,0,3.70,10,3.3,1.9
142,0.26,1946.93,162.24417,1.46919,2.22741,3.13061,0,5.58,12,3.2,2.1
132,0.29,1715.74,142.97833,1.54192,2.12202,3.62169,0,5.18,12,3.2,1.9
83,0.28,1568.70,112.05000,1.25352,0.93991,2.02714,0,10.56,14,3.1,2.5
103,0.20,1566.93,156.69300,1.66282,3.50465,2.58327,0,2.77,10,3.3,1.4
2,0.25,1540.56,128.38000,1.46028,2.13475,3.09203,0,4.64,12,3.2,1.7
130,0.29,1334.63,111.21917,1.53738,2.09841,3.61591,0,4.11,12,3.2,1.5
13,0.19,1219.92,121.99200,1.66204,3.50350,2.58734,0,2.27,10,3.3,1.1
146,0.03,1057.53,528.76500,2.39149,1.76904,0.73508,0,3.75,2,4.7,3
44,0.03,1057.53,528.76500,2.39149,1.76904,0.73508,0,3.75,2,4.3,3
110,0.03,1057.53,528.76500,2.39149,1.76904,0.73508,0,3.75,2,4.8,3
87,0.03,997.08,498.54000,2.31195,1.58066,0.70766,0,3.96,2,4.6,2.9
133,0.29,979.20,81.60000,1.54002,2.11262,3.64602,0,3.02,12,3.2,1.1
143,0.25,879.33,62.80929,1.28971,1.06569,2.05603,0,5.35,14,3.1,1.3
36,0.25,742.59,53.04214,1.28971,1.07213,2.06346,0,4.51,14,3,1.1
33,0.03,731.31,365.65500,2.01077,0.99610,0.57929,0,4.64,2,4.9,2.4
129,0.04,726.64,363.32000,0,3.00563,3.48434,0,1.52,2,4,2.5
112,0.04,726.64,363.32000,0,3.00563,3.48434,0,1.52,2,4.9,2.5
0,0.04,726.64,363.32000,0,3.00563,3.48434,0,1.52,2,5,2.5
50,0.27,721.55,45.09688,1.16556,0.45060,1.32588,0,10.30,16,2.7,1.7
94,0.03,701.26,350.63000,2.01174,0.99778,0.57967,0,4.45,2,4.4,2.3
7,0.28,664.16,41.51000,1.17202,0.47932,1.37948,0,8.95,16,2.8,1.5
128,0.03,519.44,259.72000,2.01406,1.00176,0.58023,0,3.33,2,4.7,1.7
85,0.03,519.44,259.72000,2.01406,1.00176,0.58023,0,3.33,2,4.9,1.7
89,0.03,519.44,259.72000,2.01406,1.00176,0.58023,0,3.33,2,4.6,1.7
141,0.03,456.83,228.41500,2.01536,1.00400,0.58066,0,2.93,2,3.9,1.5
138,0.03,456.83,228.41500,2.01536,1.00400,0.58066,0,2.93,2,4.8,1.5
