Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,EntryZScore,StopLossPercent
47,2.97,2330.80,97.11667,1.56004,1.32837,4.49645,0,10.79,24,2,1.5
63,2.15,2096.29,87.34542,1.31889,0.95717,2.64284,0,13.44,24,1.9,2.2
44,1.04,1988.68,90.39455,1.23246,0.65737,1.62832,0,18.62,22,1.4,2.9
59,2.39,1910.20,79.59167,1.32903,0.95780,2.58950,0,12.61,24,1.7,1.9
28,1.39,1515.24,68.87455,1.24646,0.68967,1.73117,0,13.82,22,1.5,2.1
62,0.07,1430.27,238.37833,2.68283,1.50723,0.42935,0,5.91,6,2.9,2.7
39,2.20,1425.71,59.40458,1.32161,0.96088,2.68987,0,9.35,24,1.9,1.5
24,1.57,1278.70,53.27917,1.14178,0.45059,1.26919,0,17.80,24,1.3,2.5
19,1.71,1085.55,45.23125,1.14290,0.45283,1.28926,0,15.18,24,1.3,2.1
36,1.74,1042.23,43.42625,1.14433,0.45644,1.30337,0,14.49,24,1.3,2
56,0.08,955.59,159.26500,2.68321,1.52334,0.43463,0,3.99,6,2.9,1.8
5,0.08,901.25,150.20833,2.68609,1.52377,0.43519,0,3.77,6,2.9,1.7
34,0.08,844.57,140.76167,2.67361,1.52005,0.43512,0,3.55,6,2.9,1.6
6,0.08,792.67,132.11167,2.68138,1.52366,0.43600,0,3.34,6,2.9,1.5
9,3.00,763.44,29.36308,1.22357,0.77804,2.23779,0,6.37,26,1.8,1
54,0.55,713.64,39.64667,1.11983,0.35230,1.10519,0,12.56,18,2.5,2.2
27,0.55,681.76,37.87556,1.12018,0.35261,1.10737,0,12.03,18,2.5,2.1
11,1.75,670.74,27.94750,1.13615,0.41627,1.22037,0,10.37,24,1.2,1.4
18,1.45,660.46,30.02091,1.25114,0.69747,1.80687,0,6.15,22,1.5,0.9
73,0.08,614.57,76.82125,1.43360,0.33107,0.15947,0,12.14,8,2.8,3
57,2.98,599.05,24.96042,1.56011,1.30928,4.60619,0,2.98,24,2,0.4
35,0.08,429.58,53.69750,1.45120,0.34371,0.16807,0,8.23,8,2.8,2
32,1.79,391.10,16.29583,1.13895,0.42150,1.26049,0,6.06,24,1.2,0.8
31,0.08,287.42,35.92750,1.46483,0.35343,0.17483,0,5.38,8,2.8,1.3
10,1.80,244.59,10.19125,1.14033,0.42511,1.27631,0,3.79,24,1.2,0.5
16,1.39,125.34,5.69727,1.22496,0.63278,1.64430,0,1.31,22,1.1,0.2
15,1.82,111.95,5.08864,1.45242,1.15962,3.29001,0,0.64,22,1.9,0.1
60,0.24,102.37,7.31214,1.18884,0.91738,0.73664,0,0.74,14,0.8,0.2
