Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,EntryZScore,StopLossPercent
89,0.74,1493.45,74.67250,1.17596,0.59409,2.16751,0,14.56,20,2.5,3
134,1.27,1463.68,66.53091,1.24710,0.62553,1.85086,0,13.84,22,2,2.3
87,0.60,1423.42,79.07889,1.26581,0.67291,1.39300,0,12.51,18,1.6,2.3
106,1.86,1409.60,58.73333,1.18962,0.66638,1.83964,0,12.51,24,1.7,2.3
118,1.29,1351.56,61.43455,1.25107,0.63654,1.87726,0,12.69,22,2,2.1
54,1.63,937.37,39.05708,1.15742,0.44890,1.43433,0,12.54,24,1.7,2
52,1.32,896.43,40.74682,1.25396,0.64483,1.90109,0,8.61,22,2,1.4
30,1.32,896.43,40.74682,1.25396,0.64483,1.90109,0,8.61,22,1.9,1.4
28,0.80,843.96,42.19800,1.19138,0.65665,2.35089,0,7.94,20,2.5,1.6
14,0.55,841.59,46.75500,1.22163,0.44682,1.07718,0,11.43,18,1.6,1.8
135,0.54,678.50,37.69444,1.20421,0.43892,1.04114,0,9.53,18,1.6,1.5
26,1.42,602.95,27.40682,1.23633,0.59367,1.75019,0,6.42,22,1.8,1
142,0.56,576.68,32.03778,1.23185,0.47202,1.12225,0,7.65,18,1.6,1.2
140,1.35,519.94,23.63364,1.26224,0.66656,1.96409,0,4.99,22,1.9,0.8
126,1.44,489.31,22.24136,1.24099,0.60543,1.78728,0,5.17,22,1.8,0.8
136,0.29,467.66,33.40429,1.38172,1.09228,1.13546,0,2.76,14,1.6,0.6
20,1.33,242.02,11.00091,1.31435,0.86680,2.54594,0,1.83,22,1.9,0.3
61,0.27,45.63,2.85188,1.06080,0.13263,0.33110,0,2.26,16,2.2,0.3
31,0.02,39.29,9.82250,1.02018,0.03481,0.00900,0,7.53,4,3.1,2.9
32,0.22,12.69,0.90643,1.03750,0.11585,0.20375,0,0.73,14,1.7,0.1
8,0.22,12.69,0.90643,1.03750,0.11585,0.20375,0,0.73,14,1.9,0.1
21,0.02,-0.03,-0.00750,0.99254,-0.03000,-0.04372,0,0.01,4,3.3,0
124,27.87,-2.85,-0.01272,0.97140,-0.29688,-2.15265,0,0.06,224,1.1,0
133,7.43,-3.88,-0.11412,0.81045,-0.64132,-5.00000,0,0.04,34,2.4,0
1,0.21,-3.93,-0.24563,0.63678,-0.69558,-5.00000,0,0.04,16,2.8,0
