Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,EntryZScore,StopLossPercent
57,0.88,1736.18,86.80900,1.38893,1.33429,1.76175,0,8.13,20,1.7,2.7
80,0.36,1379.97,86.24813,1.34931,1.04978,1.11935,0,8.22,16,1.6,2.8
142,0.36,1358.37,84.89813,1.35488,1.04394,1.13222,0,8.13,16,1.6,2.7
76,0.09,1101.16,110.11600,1.23503,0.65868,0.31703,0,10.12,10,0.9,2.8
103,0.09,992.77,99.27700,1.23842,0.66993,0.32075,0,9.06,10,1.1,2.5
63,0.03,898.48,449.24000,2.17985,1.40528,0.21006,0,4.09,2,3.2,2.8
89,0.06,832.70,138.78333,1.71872,1.08678,0.72056,0,5.00,6,3,1.6
35,0.09,603.66,60.36600,1.24628,0.68924,0.32716,0,5.54,10,0.9,1.5
38,0.03,573.25,286.62500,2.23922,1.49510,0.22186,0,2.49,2,3.2,1.7
15,0.03,505.52,252.76000,2.24060,1.49722,0.22238,0,2.20,2,3.2,1.5
49,0.03,472.48,236.24000,2.24089,1.49765,0.22256,0,2.06,2,3.2,1.4
13,0.09,435.64,43.56400,1.24464,0.68623,0.32466,0,4.07,10,1.2,1.1
72,0.09,404.20,40.42000,1.25059,0.70121,0.33079,0,3.71,10,1.2,1
62,0.09,279.57,27.95700,1.25043,0.70948,0.33103,0,2.56,10,0.9,0.7
139,0.03,234.58,117.29000,2.23217,1.48431,0.22200,0,1.04,2,3.2,0.7
113,0.10,213.88,21.38800,1.33486,1.35461,0.45177,0,1.04,10,0.5,0.4
31,0.21,200.87,14.34786,1.03258,0.09347,0.10888,0,12.82,14,1.1,2.7
6,0.22,194.84,13.91714,1.03288,0.09402,0.10955,0,12.41,14,1,2.6
20,0.22,178.53,12.75214,1.03423,0.09819,0.11354,0,11.02,14,1,2.3
83,0.06,152.49,25.41500,1.70995,1.06383,0.71643,0,0.95,6,3,0.3
42,0.22,151.87,10.84786,1.03751,0.10768,0.12331,0,8.72,14,1.1,1.8
79,0.21,145.69,10.40643,1.02390,0.06806,0.07898,0,12.82,14,0.9,2.7
67,0.03,114.08,28.52000,1.20849,0.27433,0.12781,0,2.74,4,3.1,0.8
53,0.22,92.28,6.59143,1.03222,0.09176,0.10387,0,6.36,14,0.9,1.3
106,0.12,54.40,4.53333,1.02706,0.06003,0.06539,0,5.84,12,0.5,1
12,0.65,1.43,0.07944,1.13229,0.35930,6.19289,0,0.03,18,2.8,0
29,0.05,0.84,0.21000,1.62687,1.33333,1.85821,0,0.00,4,3.1,0
9,0.40,-1.43,-0.07944,0.99358,-0.01671,-0.03950,0,0.57,18,0.5,0.1
22,0.48,-1.84,-0.09200,0.99931,-0.00214,-0.01019,0,5.71,20,2.6,1
39,23.53,-6.29,-0.11232,0.74840,-0.77943,-5.00000,0,0.05,56,2.3,0
66,0.12,-11.58,-0.96500,0.99511,-0.01315,-0.02875,0,5.79,12,2.9,1.1
43,25.45,-15.65,-0.13042,0.72654,-0.91360,-5.00000,0,0.11,120,1.6,0
18,0.31,-49.42,-2.74556,0.83432,-0.45848,-1.32419,0,0.72,18,0.7,0.1
135,24.07,-55.45,-0.18361,0.56821,-0.95193,-5.00000,0,0.39,302,0.7,0
68,0.46,-56.67,-2.83350,0.98979,-0.03208,-0.14959,0,11.72,20,2.6,2.1
77,24.11,-67.79,-0.16780,0.57544,-0.98978,-5.00000,0,0.46,404,0.3,0
94,24.12,-67.99,-0.19537,0.53505,-0.97715,-5.00000,0,0.46,348,0.5,0
141,0.43,-70.48,-3.52400,0.75338,-0.66648,-2.16172,0,0.70,20,0,0.1
61,0.43,-70.48,-3.52400,0.75338,-0.66648,-2.16172,0,0.70,20,0.1,0.1
128,24.07,-84.34,-0.17644,0.51465,-0.96312,-5.00000,0,0.58,478,0,0
132,0.18,-122.47,-8.74786,0.73900,-0.63119,-0.91252,0,1.29,14,0,0.2
64,0.18,-122.47,-8.74786,0.73900,-0.63119,-0.91252,0,1.29,14,0.2,0.2
108,0.47,-159.46,-7.97300,0.77568,-0.47109,-1.86815,0,2.25,20,1.6,0.3
136,0.21,-245.96,-15.37250,0.69892,-0.57870,-1.91039,0,2.82,16,0,0.3
125,0.21,-309.90,-19.36875,0.71709,-0.54632,-1.78262,0,3.76,16,0,0.4
144,0.21,-395.86,-24.74125,0.71210,-0.55952,-1.82572,0,4.69,16,0,0.5
27,1.26,-411.87,-17.16125,0.88786,-0.37856,-1.39647,0,7.03,24,1.2,0.9
36,1.42,-436.73,-16.79731,0.61929,-0.83564,-5.00000,0,3.48,26,2.4,0.3
92,0.96,-458.42,-19.10083,0.85296,-0.34392,-1.35353,0,8.76,24,1.7,1.2
7,1.54,-485.41,-18.66962,0.70809,-0.78009,-3.90616,0,4.13,26,1.5,0.4
126,0.21,-542.73,-33.92063,0.71527,-0.55227,-1.79195,0,6.50,16,0,0.7
119,1.25,-552.32,-23.01333,0.88764,-0.37927,-1.40518,0,9.31,24,1.4,1.2
98,0.58,-569.31,-28.46550,0.82408,-0.60390,-1.90244,0,6.27,20,2.5,1.1
90,1.54,-635.76,-24.45231,0.75096,-0.63296,-2.67435,0,6.63,26,1.8,0.9
96,0.58,-664.79,-33.23950,0.82509,-0.60091,-1.88547,0,7.35,20,2.5,1.3
81,0.28,-672.93,-37.38500,0.84573,-0.35782,-0.72412,0,12.47,18,2.1,2.9
52,0.43,-686.56,-34.32800,0.54015,-0.88037,-3.77365,0,5.19,20,2.2,0.7
45,0.46,-721.90,-36.09500,0.78436,-0.46463,-1.84413,0,10.19,20,1.6,1.4
129,2.87,-768.58,-25.61933,0.54121,-0.98308,-5.00000,0,5.21,30,2.3,0.4
8,1.22,-790.57,-32.94042,0.88638,-0.38180,-1.43275,0,13.01,24,1.2,1.7
110,0.64,-833.01,-37.86409,0.60258,-0.75339,-3.31057,0,7.36,22,2,1
112,1.53,-861.65,-33.14039,0.69838,-0.78560,-3.98196,0,7.27,26,1.5,0.7
82,0.43,-880.35,-44.01750,0.53915,-0.88057,-3.77575,0,6.65,20,2.1,0.9
65,0.20,-929.55,-58.09688,0.71192,-0.55879,-1.80961,0,10.93,16,0.2,1.2
74,0.20,-929.55,-58.09688,0.71192,-0.55879,-1.80961,0,10.93,16,0,1.2
25,0.20,-934.90,-58.43125,0.81133,-0.49440,-2.27263,0,12.37,16,2.8,2
17,1.51,-978.38,-37.63000,0.76137,-0.58976,-2.50579,0,10.88,26,1.8,1.5
33,0.57,-1046.65,-52.33250,0.81834,-0.62113,-1.95808,0,11.18,20,2.5,2
50,0.43,-1072.85,-53.64250,0.53811,-0.88068,-3.78865,0,8.10,20,2,1.1
32,0.42,-1127.18,-56.35900,0.78275,-0.47300,-1.86461,0,15.48,20,1.6,2.2
130,0.20,-1156.29,-72.26813,0.71046,-0.56151,-1.81322,0,13.48,16,0,1.5
44,0.20,-1156.29,-72.26813,0.71046,-0.56151,-1.81322,0,13.48,16,0.2,1.5
24,1.52,-1181.72,-45.45077,0.71034,-0.77814,-3.86950,0,10.04,26,1.5,1
