Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,EntryZScore,StopLossPercent
13,26.85,-9.09,-0.11654,0.72505,-0.92004,-5.00000,0,0.07,78,2.1,0
29,0.02,-53.45,-26.72500,0.53574,-0.63382,-0.42312,0,0.56,2,3.6,0.3
26,0.02,-72.59,-36.29500,0.53116,-0.64018,-0.43098,0,0.75,2,3.8,0.4
18,0.02,-95.14,-47.57000,0.40833,-0.60483,-0.71302,0,1.04,2,3.8,0.6
20,0.20,-167.24,-10.45250,0.51753,-0.93430,-4.17506,0,1.19,16,3.1,0.1
30,0.02,-414.06,-207.03000,0.40805,-0.60530,-0.72153,0,4.48,2,3.8,2.6
34,0.06,-438.35,-43.83500,0.34312,-0.91310,-1.50400,0,3.19,10,3.4,0.3
32,0.13,-1115.50,-79.67857,0.58868,-0.90864,-3.09120,0,8.13,14,3.2,0.9
8,1.37,-1269.76,-48.83692,0.73592,-0.87774,-3.73203,0,9.64,26,2.2,1
6,0.06,-1296.97,-129.69700,0.34646,-0.91241,-1.50949,0,9.41,10,3.4,0.9
5,0.09,-1300.37,-108.36417,0.31981,-0.92931,-2.57900,0,9.27,12,3.3,0.8
16,1.36,-1377.84,-52.99385,0.69468,-0.90490,-3.91035,0,10.15,26,1.9,0.9
24,3.60,-1425.07,-44.53344,0.80136,-0.60662,-2.70898,0,15.66,32,2,1.3
10,1.98,-1551.49,-51.71633,0.73288,-0.52911,-3.78634,0,18.73,30,0.3,1.1
28,1.31,-1583.34,-60.89769,0.71163,-0.76055,-5.00000,0,13.56,26,0.6,0.9
25,0.02,-1965.68,-491.42000,0.28621,-0.94433,-0.81232,0,13.88,4,3.5,2.4
19,4.58,-2061.55,-60.63382,0.63565,-0.82272,-4.75849,0,16.71,34,1.4,1.2
7,0.82,-2149.87,-89.57792,0.68967,-0.89776,-5.00000,0,15.96,24,2.7,1.5
9,4.88,-2217.19,-58.34711,0.73453,-0.67800,-4.42913,0,21.00,38,0.8,1.3
27,0.75,-2301.37,-82.19179,0.72550,-0.62669,-3.78843,0,22.83,28,0.1,1.8
33,1.25,-2349.08,-78.30267,0.80899,-0.67411,-2.93801,0,22.07,30,0.2,2.2
4,0.09,-2543.94,-181.71000,0.58927,-0.90674,-3.16024,0,18.39,14,3.2,2.1
22,0.36,-3057.89,-117.61115,0.71132,-0.76775,-5.00000,0,25.44,26,0.4,1.8
17,1.31,-4980.92,-138.35889,0.68674,-0.78219,-3.89990,0,42.45,36,1.1,2.8
3,0,0.00,0,,0,0,0,0.00,0,4.4,1.1
11,0,0.00,0,,0,0,0,0.00,0,4.1,1.6
12,0,0.00,0,,0,0,0,0.00,0,4.5,1.3
1,0,0.00,0,,0,0,0,0.00,0,4,1.4
2,0,0.00,0,,0,0,0,0.00,0,5,0.4
21,0,0.00,0,,0,0,0,0.00,0,5,1.8
0,0,0.00,0,,0,0,0,0.00,0,4.3,0.7
31,0,0.00,0,,0,0,0,0.00,0,5,2
14,0,0.00,0,,0,0,0,0.00,0,4.4,1.2
15,0,0.00,0,,0,0,0,0.00,0,5,2.2
23,0,0.00,0,,0,0,0,0.00,0,4,1.6
