Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,EntryZScore,StopLossPercent
158,0.03,13.30,6.65000,1.77960,0.73117,0.05376,0,0.12,2,0,0.1
109,0.04,1.08,0.27000,1.63158,0.86400,1.59223,0,0.01,4,3.1,0
155,32.88,0.08,0.00055,1.00117,0.00971,0.08060,0,0.05,146,1.5,0
157,36.58,0.07,0.00058,1.00124,0.00873,0.08925,0,0.05,120,1.6,0
56,0.03,-0.63,-0.10500,0.99925,-0.00094,-0.00022,0,4.41,6,0.6,1.3
99,0.03,-0.63,-0.10500,0.99925,-0.00094,-0.00022,0,4.41,6,0.1,1.3
71,12.93,-1.45,-0.03816,0.92903,-0.33181,-5.00000,0,0.03,38,2.2,0
140,0.21,-3.25,-0.20313,0.79073,-0.65130,-5.00000,0,0.03,16,2.4,0
154,1.84,-3.99,-0.15346,0.78822,-0.91304,-5.00000,0,0.03,26,2.3,0
152,30.12,-4.64,-0.02128,0.95695,-0.47492,-3.35538,0,0.07,218,1.2,0
25,0.03,-10.55,-1.75833,0.99043,-0.01188,-0.00279,0,5.79,6,1,1.7
29,28.22,-13.67,-0.04118,0.91022,-0.89055,-5.00000,0,0.10,332,0.7,0
38,27.48,-22.10,-0.06105,0.86942,-0.92935,-5.00000,0,0.16,362,0.6,0
131,0.03,-23.42,-3.90333,0.98517,-0.01865,-0.00439,0,8.10,6,0,2.4
43,0.03,-23.42,-3.90333,0.98517,-0.01865,-0.00439,0,8.10,6,0.9,2.4
123,27.26,-35.86,-0.07409,0.84797,-0.99722,-5.00000,0,0.24,484,0,0
108,0.03,-41.01,-6.83500,0.97772,-0.02791,-0.00662,0,9.43,6,0.3,2.8
91,0.08,-42.55,-4.25500,0.78377,-0.44254,-0.57856,0,0.64,10,2.7,0.1
156,0.95,-58.72,-2.44667,0.77837,-0.58306,-2.27794,0,0.67,24,1.6,0.1
137,0.64,-115.64,-5.25636,0.84154,-0.59072,-1.52046,0,1.30,22,1.6,0.3
98,0.02,-121.71,-30.42750,0.48129,-0.50656,-0.37831,0,1.59,4,3.2,0.3
135,0.06,-124.48,-12.44800,0.79067,-0.50979,-0.32820,0,1.62,10,0,0.4
138,0.09,-131.62,-10.96833,0.71143,-0.70566,-0.75138,0,1.24,12,0,0.3
86,0.09,-131.62,-10.96833,0.71143,-0.70566,-0.75138,0,1.24,12,0.5,0.3
26,0.13,-133.34,-9.52429,0.63237,-0.70424,-1.26662,0,1.26,14,0.5,0.2
3,0.08,-160.29,-16.02900,0.83015,-0.40812,-0.50095,0,2.61,10,2.6,0.4
82,0.29,-167.02,-9.27889,0.79599,-0.48586,-1.99150,0,2.28,18,2.2,0.3
45,0.09,-187.76,-15.64667,0.75155,-0.47344,-0.58275,0,2.63,12,0.2,0.5
134,0.06,-197.19,-19.71900,0.80775,-0.48180,-0.29556,0,2.70,10,0,0.7
92,0.29,-199.49,-11.08278,0.59231,-0.78351,-3.87959,0,1.70,18,2.3,0.2
153,0.06,-215.58,-21.55800,0.83162,-0.37022,-0.23711,0,3.84,10,0,0.9
89,0.06,-215.58,-21.55800,0.83162,-0.37022,-0.23711,0,3.84,10,0.1,0.9
41,0.06,-215.58,-21.55800,0.83162,-0.37022,-0.23711,0,3.84,10,0.3,0.9
107,0.06,-236.49,-23.64900,0.80397,-0.48549,-0.30305,0,3.21,10,0.4,0.8
141,0.02,-247.25,-61.81250,0.47739,-0.51283,-0.38317,0,3.18,4,3.2,0.6
33,0.06,-255.92,-25.59200,0.81876,-0.38153,-0.25412,0,4.41,10,0.2,1
20,0.08,-267.05,-26.70500,0.83875,-0.39530,-0.47931,0,4.48,10,2.7,0.7
143,0.09,-278.25,-23.18750,0.72495,-0.59870,-0.70326,0,3.07,12,0,0.6
120,0.09,-278.25,-23.18750,0.72495,-0.59870,-0.70326,0,3.07,12,0.2,0.6
44,0.09,-298.55,-24.87917,0.70291,-0.56419,-1.12515,0,3.52,12,2.4,0.5
68,0.29,-333.69,-18.53833,0.72184,-0.62766,-1.67648,0,3.54,18,1.5,0.6
160,0.06,-366.62,-36.66200,0.79708,-0.50133,-0.31556,0,4.80,10,0,1.2
27,0.06,-366.62,-36.66200,0.79708,-0.50133,-0.31556,0,4.80,10,0.8,1.2
