Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,EntryZScore,StopLossPercent
1,0.04,-2.03,-0.33833,0.41330,-0.50372,-1.96410,0,0.03,6,3.8,0
6,0.14,-8.97,-0.64071,0.92699,-0.12723,-0.21751,0,0.47,14,3.2,0.1
8,2.72,-9.70,-0.34643,0.99483,-0.01841,-0.06811,0,3.40,28,2.6,0.8
0,0.02,-191.14,-95.57000,0.33084,-0.46259,-0.72063,0,2.75,2,4.7,1.2
4,0.02,-369.34,-184.67000,0.33095,-0.46253,-0.71384,0,5.32,2,4.5,2.3
2,0.02,-417.28,-208.64000,0.33030,-0.46283,-0.71230,0,6.01,2,4.7,2.6
9,0.19,-1241.49,-77.59313,0.49669,-0.91375,-2.62717,0,8.99,16,3.1,1.5
7,0.39,-2126.15,-106.30750,0.45870,-0.93495,-5.00000,0,15.02,20,2.8,1.9
3,0.05,-2254.68,-225.46800,0.19195,-0.84455,-3.18505,0,17.40,10,3.6,2
5,0.05,-2582.64,-161.41500,0.49134,-0.58951,-3.84465,0,26.09,16,3.3,3
