Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,EntryZScore,StopLossPercent
79,6.90,7215.42,257.69357,1.72399,1.74967,8.73330,0,16.49,28,1.7,2.8
3,2.39,6744.10,306.55000,1.81626,1.96825,7.34896,0,14.41,22,1.9,3
6,2.27,5637.58,256.25364,1.82251,1.67375,6.29152,0,14.69,22,1.6,3
80,3.39,5604.93,233.53875,1.86332,1.73717,7.41913,0,14.14,24,1.6,2.8
117,5.25,4718.11,181.46577,1.80333,2.23396,10.27512,0,10.77,26,2.1,2.1
78,5.66,4492.23,172.77808,2.06795,2.79262,12.67083,0,8.29,26,2.2,1.6
56,5.27,4221.89,162.38039,1.80835,2.25893,10.32030,0,9.77,26,2,1.9
49,3.27,3996.52,166.52167,1.75360,1.58100,6.53521,0,12.33,24,1.9,2.5
108,5.30,3746.24,144.08615,1.81428,2.29213,10.35235,0,8.76,26,2.1,1.7
57,2.13,2639.00,119.95455,1.72196,1.44355,5.71723,0,9.68,22,1.8,1.8
67,2.82,1302.22,50.08539,1.13084,0.53075,2.19245,0,13.52,26,1.6,2.1
38,2.87,1189.33,45.74346,1.13367,0.54405,2.21816,0,12.26,26,1.6,1.9
5,2.93,832.60,32.02308,1.14170,0.57775,2.29361,0,8.52,26,1.6,1.3
1,0.14,720.32,60.02667,1.13723,0.23685,0.51723,0,16.21,12,2.4,2.9
46,3.37,705.50,29.39583,1.52254,2.14607,8.67346,0,2.10,24,2.2,0.4
101,0.07,647.84,80.98000,1.26773,0.52214,0.52892,0,7.64,8,2.8,2
32,0.21,623.03,38.93938,1.11850,0.28072,0.52285,0,13.88,16,0.7,2.4
4,4.51,601.11,21.46821,1.20538,0.79315,3.05690,0,4.69,28,1.7,0.7
69,0.21,590.86,36.92875,1.11692,0.27703,0.51627,0,13.37,16,0.7,2.3
22,0.74,574.39,28.71950,1.10911,0.33318,0.72991,0,10.75,20,1.2,2
72,0.22,529.95,33.12188,1.12106,0.28695,0.53452,0,11.67,16,0.8,2
94,0.74,512.35,25.61750,1.10830,0.33078,0.72474,0,9.72,20,1.2,1.8
126,0.22,459.64,28.72750,1.12364,0.29338,0.54622,0,9.98,16,0.7,1.7
