Date,AUDCAD,AUDJPY,AUDNZD,AUDSGD,AUDUSD,EURSGD,EURUSD,GBPUSD,XAGUSD,XAUUSD
2024-01-01 21:00:00,,,,,,,,,,2065.46
2024-01-01 23:00:00,0.9012,95.897,1.07654,0.89799,0.68057,1.45706,1.10431,1.27255,,2065.46
2024-01-02 00:00:00,0.90172,96.081,1.07824,0.89848,0.68086,1.45625,1.10362,1.27268,,2065.46
2024-01-02 01:00:00,0.90234,96.162,1.07898,0.89913,0.68134,1.45649,1.10379,1.27247,23.815,2065.42
2024-01-02 02:00:00,0.90191,96.345,1.0804,0.89981,0.68118,1.4575,1.10346,1.27199,23.803,2066.56
2024-01-02 03:00:00,0.90168,96.315,1.08052,0.89943,0.68039,1.45652,1.10186,1.27098,23.868,2067.78
2024-01-02 04:00:00,0.90318,96.42,1.08124,0.90116,0.68141,1.45781,1.10243,1.27186,23.923,2069.58
2024-01-02 05:00:00,0.90367,96.51,1.08158,0.90129,0.68186,1.45664,1.10206,1.27137,23.912,2069.57
2024-01-02 06:00:00,0.90503,96.657,1.08258,0.90337,0.68382,1.4574,1.10332,1.27358,24.029,2074.4
2024-01-02 07:00:00,0.90455,96.592,1.08153,0.90207,0.68258,1.45746,1.10284,1.27312,24.038,2074.18
2024-01-02 08:00:00,0.90351,96.52,1.0819,0.90172,0.6819,1.45651,1.10151,1.27313,23.983,2073.1
2024-01-02 09:00:00,0.90353,96.598,1.08221,0.90206,0.68242,1.45783,1.10295,1.27489,24.02,2073.27
2024-01-02 10:00:00,0.90391,96.552,1.08077,0.90224,0.68209,1.45686,1.10149,1.27167,24.044,2077.03
2024-01-02 11:00:00,0.90304,96.549,1.08034,0.9018,0.6816,1.45622,1.10072,1.26942,24.052,2075.92
2024-01-02 12:00:00,0.90209,96.434,1.08247,0.90082,0.67997,1.45305,1.09691,1.26613,23.93,2069.16
2024-01-02 13:00:00,0.90172,96.424,1.08173,0.89971,0.6785,1.45237,1.09534,1.26427,23.874,2067.87
2024-01-02 14:00:00,0.90152,96.365,1.08126,0.89925,0.67793,1.45266,1.09526,1.26288,23.907,2066.2
2024-01-02 15:00:00,0.90354,96.056,1.08082,0.89893,0.67863,1.45206,1.0963,1.26275,23.979,2070.3
2024-01-02 16:00:00,0.90082,96.049,1.08073,0.89741,0.67675,1.45101,1.09435,1.26243,23.713,2059.3
2024-01-02 17:00:00,0.90105,96.06,1.0813,0.89788,0.677,1.45294,1.09562,1.26288,23.793,2066.04
2024-01-02 18:00:00,0.90102,96.152,1.08205,0.89828,0.67727,1.4522,1.09504,1.2632,23.694,2062.62
2024-01-02 19:00:00,0.90134,96.016,1.08167,0.89723,0.67639,1.45184,1.09465,1.26252,23.638,2061.14
2024-01-02 20:00:00,0.90087,95.961,1.08148,0.89697,0.67603,1.45218,1.09463,1.26192,23.639,2060.85
2024-01-02 21:00:00,0.90071,95.932,1.08108,0.89664,0.67573,1.45189,1.09429,1.26167,23.634,2058.14
2024-01-02 22:00:00,0.90055,95.965,1.08122,0.89499,0.6759,1.44923,1.0941,1.26171,23.629,2058.78
2024-01-02 23:00:00,0.90099,96.076,1.08164,0.89646,0.67636,1.45009,1.09411,1.26198,23.629,2058.78
2024-01-03 00:00:00,0.90126,96.189,1.0822,0.89738,0.67658,1.45102,1.09412,1.26214,23.629,2058.78
2024-01-03 01:00:00,0.90095,96.005,1.08112,0.89688,0.67635,1.45178,1.09492,1.26303,23.67,2060.12
2024-01-03 02:00:00,0.90025,95.941,1.07992,0.89651,0.6756,1.45302,1.09511,1.26281,23.638,2062.44
2024-01-03 03:00:00,0.90019,95.938,1.07973,0.89608,0.67549,1.45272,1.0952,1.26281,23.689,2064.64
2024-01-03 04:00:00,0.90145,95.99,1.0794,0.8973,0.67656,1.45355,1.09606,1.26397,23.68,2065.05
2024-01-03 05:00:00,0.90116,95.958,1.07877,0.89672,0.67624,1.45343,1.0962,1.26404,23.667,2064.81
2024-01-03 06:00:00,0.90136,96.127,1.07869,0.8967,0.67639,1.45165,1.09511,1.26297,23.605,2064.02
2024-01-03 07:00:00,0.90143,96.127,1.07818,0.89681,0.67656,1.45251,1.09586,1.26428,23.63,2064.25
2024-01-03 08:00:00,0.90024,96.226,1.07911,0.89622,0.6757,1.45367,1.096,1.26423,23.566,2062.94
2024-01-03 09:00:00,0.9001,96.312,1.07896,0.89623,0.67555,1.45288,1.09524,1.26407,23.477,2059.99
2024-01-03 10:00:00,0.89921,96.257,1.07888,0.89549,0.67488,1.451,1.09361,1.26271,23.421,2056.74
2024-01-03 11:00:00,0.89892,96.169,1.07803,0.89467,0.67419,1.44999,1.09277,1.26256,23.401,2054.83
2024-01-03 12:00:00,0.89773,96.172,1.0778,0.89362,0.67288,1.45007,1.09192,1.26258,23.238,2047.47
2024-01-03 13:00:00,0.8976,96.141,1.07876,0.89329,0.67267,1.44958,1.09166,1.26237,23.294,2045.64
2024-01-03 14:00:00,0.8971,96.022,1.07889,0.89215,0.67143,1.45099,1.09214,1.26289,23.019,2040.93
2024-01-03 15:00:00,0.897,96.199,1.07702,0.89288,0.67197,1.45063,1.09186,1.2629,22.968,2037.84
2024-01-03 16:00:00,0.89602,96.377,1.07779,0.89258,0.67118,1.45001,1.09045,1.26271,22.851,2032.52
2024-01-03 17:00:00,0.8974,96.448,1.07783,0.89345,0.67187,1.45037,1.09079,1.26399,22.929,2032.37
2024-01-03 18:00:00,0.89772,96.495,1.07782,0.89319,0.67197,1.44958,1.09065,1.26438,22.881,2033.35
2024-01-03 19:00:00,0.89774,96.471,1.07623,0.89273,0.67191,1.4488,1.09054,1.26455,22.971,2035.76
2024-01-03 20:00:00,0.89865,96.384,1.07794,0.89433,0.67292,1.45074,1.09172,1.26629,22.996,2036.6
2024-01-03 21:00:00,0.89824,96.325,1.07694,0.89365,0.6725,1.45108,1.09209,1.26629,23.002,2040.93
2024-01-03 22:00:00,0.89781,96.354,1.07739,0.89346,0.67245,1.45088,1.09217,1.2663,22.959,2041.21
2024-01-03 23:00:00,0.89837,96.318,1.07695,0.89395,0.6728,1.45068,1.09204,1.26616,22.959,2041.21
2024-01-04 00:00:00,0.8988,96.296,1.07713,0.89452,0.67342,1.45113,1.09256,1.26722,22.959,2041.21
2024-01-04 01:00:00,0.8983,96.414,1.07833,0.89416,0.67296,1.4511,1.09222,1.26682,22.968,2042.12
2024-01-04 02:00:00,0.89806,96.522,1.07812,0.89436,0.67295,1.45082,1.09176,1.26614,22.927,2042.19
2024-01-04 03:00:00,0.89821,96.533,1.07642,0.89455,0.67284,1.45161,1.09192,1.2659,22.919,2044.46
2024-01-04 04:00:00,0.89874,96.593,1.07549,0.89545,0.67384,1.45172,1.09259,1.26725,22.949,2044.58
2024-01-04 05:00:00,0.8988,96.748,1.07564,0.89571,0.6739,1.45203,1.09257,1.26695,22.941,2043.04
2024-01-04 06:00:00,0.89892,96.893,1.07617,0.8961,0.67392,1.45268,1.09263,1.26645,22.996,2043.72
2024-01-04 07:00:00,0.89969,96.916,1.0761,0.89715,0.67524,1.45231,1.09322,1.26781,23.0,2047.21
2024-01-04 08:00:00,0.89943,96.83,1.07701,0.89648,0.6753,1.4518,1.09376,1.26922,22.984,2047.59
2024-01-04 09:00:00,0.89915,96.912,1.07634,0.8959,0.67493,1.45373,1.0953,1.27007,23.01,2046.74
2024-01-04 10:00:00,0.89824,97.0,1.0767,0.89483,0.67423,1.4554,1.09673,1.27191,23.0,2047.95
