<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.01	00:01:00	1.16943	1.16943	1.16942	1.16942	2	0	43
2025.09.01	00:02:00	1.16942	1.16942	1.16941	1.16941	2	0	45
2025.09.01	00:03:00	1.16941	1.16941	1.16941	1.16941	1	0	47
2025.09.01	00:04:00	1.16941	1.16941	1.16940	1.16940	4	0	47
2025.09.01	00:05:00	1.16939	1.16939	1.16935	1.16936	5	0	23
2025.09.01	00:06:00	1.16922	1.16938	1.16922	1.16938	4	0	49
2025.09.01	00:07:00	1.16921	1.16933	1.16921	1.16933	2	0	53
2025.09.01	00:08:00	1.16933	1.16934	1.16933	1.16934	2	0	53
2025.09.01	00:09:00	1.16934	1.16934	1.16933	1.16933	6	0	52
2025.09.01	00:10:00	1.16946	1.16946	1.16931	1.16938	6	0	49
2025.09.01	00:11:00	1.16937	1.16937	1.16930	1.16937	4	0	51
2025.09.01	00:12:00	1.16937	1.16937	1.16930	1.16930	6	0	51
2025.09.01	00:13:00	1.16930	1.16930	1.16930	1.16930	1	0	68
2025.09.01	00:14:00	1.16930	1.16930	1.16930	1.16930	1	0	60
2025.09.01	00:15:00	1.16930	1.16937	1.16930	1.16930	3	0	52
2025.09.01	00:16:00	1.16930	1.16937	1.16930	1.16930	3	0	52
2025.09.01	00:17:00	1.16929	1.16929	1.16929	1.16929	1	0	68
2025.09.01	00:18:00	1.16929	1.16929	1.16929	1.16929	1	0	61
2025.09.01	00:19:00	1.16929	1.16929	1.16929	1.16929	1	0	68
2025.09.01	00:20:00	1.16929	1.16929	1.16929	1.16929	1	0	68
2025.09.01	00:21:00	1.16929	1.16929	1.16929	1.16929	1	0	68
2025.09.01	00:22:00	1.16929	1.16937	1.16929	1.16929	3	0	52
2025.09.01	00:23:00	1.16929	1.16929	1.16929	1.16929	1	0	68
2025.09.01	00:24:00	1.16929	1.16937	1.16928	1.16928	3	0	50
2025.09.01	00:25:00	1.16920	1.16937	1.16919	1.16926	8	0	50
2025.09.01	00:26:00	1.16919	1.16927	1.16919	1.16919	5	0	60
2025.09.01	00:27:00	1.16937	1.16937	1.16918	1.16926	6	0	50
2025.09.01	00:28:00	1.16918	1.16927	1.16918	1.16918	5	0	59
2025.09.01	00:29:00	1.16926	1.16927	1.16918	1.16918	6	0	59
2025.09.01	00:30:00	1.16937	1.16938	1.16918	1.16918	7	0	46
2025.09.01	00:31:00	1.16919	1.16938	1.16919	1.16937	7	0	46
2025.09.01	00:32:00	1.16932	1.16938	1.16918	1.16918	10	0	48
2025.09.01	00:33:00	1.16936	1.16936	1.16918	1.16918	7	0	47
2025.09.01	00:34:00	1.16932	1.16932	1.16918	1.16918	8	0	54
2025.09.01	00:35:00	1.16940	1.16940	1.16933	1.16938	8	0	43
2025.09.01	00:36:00	1.16938	1.16938	1.16915	1.16938	6	0	43
